head,relation,tail,time
Foreign Affairs (Syria),Consult,Foreign Affairs (Russia),2014-01-15
Cabinet / Council of Ministers / Advisors (United States),Make optimistic comment,Afghanistan,2014-10-12
Police (Australia),Confiscate property,Criminal (Australia),2014-12-29
Faith Pansy Tlakula,Reject,Main Opposition (South Africa),2014-06-05
Uhuru Muigai Kenyatta,Make a visit,William Ruto,2014-07-18
Ethiopia,Express intent to engage in diplomatic cooperation (such as policy support),South Sudan,2014-06-12
Police (Australia),Make an appeal or request,Citizen (Australia),2014-12-29
John Kerry,Engage in negotiation,Fumio Kishida,2014-09-23
Mohamed Ould Abdel Aziz,Make a visit,Gambia,2014-10-09
Cabinet / Council of Ministers / Advisors (United States),Discuss by telephone,Sergey Viktorovich Lavrov,2014-05-03
Lawyer/Attorney (Turkey),Ease administrative sanctions,Citizen (Turkey),2014-10-18
Benjamin Netanyahu,Make statement,Barack Obama,2014-06-04
François Hollande,Consult,Angela Merkel,2014-12-18
Sudan,"Arrest, detain, or charge with legal action",Displaced Families (Sudan),2014-11-17
Likud,Make statement,Benjamin Netanyahu,2014-07-14
UN Security Council,Engage in negotiation,Iran,2014-06-01
UN Security Council,Make statement,South Korea,2014-10-26
Citizen (Kyrgyzstan),Appeal for aid,Police (Kyrgyzstan),2014-11-13
Afghanistan,Express intent to meet or negotiate,Bhutan,2014-11-25
Citizen (South Korea),Express intent to meet or negotiate,South Korea,2014-02-25
News Editor (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-09-01
Citizen (Kenya),Reject economic cooperation,Government (Kenya),2014-08-04
Ethiopia,Consult,African Union,2014-11-03
Media Personnel (Argentina),Make statement,Criminal (Argentina),2014-01-21
Hun Sen,Express intent to meet or negotiate,Xi Jinping,2014-11-03
Other Authorities / Officials (United States),Make a visit,China,2014-11-10
Pedro Joaquin Coldwell,Consult,Rafael Ramírez,2014-11-07
Serbia,Criticize or denounce,Vojislav Šešelj,2014-11-26
Shimon Peres,Engage in negotiation,Barack Obama,2014-06-25
Citizen (India),Reduce relations,Ruling Party (India),2014-05-15
Morocco,Engage in diplomatic cooperation,France,2014-03-16
Bahrain,Host a visit,"Preacher (Palestinian Territory, Occupied)",2014-05-09
France,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014-03-31
Chaudhry Nisar Ali Khan,Consult,Raheel Sharif,2014-04-04
Military Personnel (Somalia),Make statement,Al-Shabaab,2014-12-28
Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry,2014-04-07
Israeli Defense Forces,Use conventional military force,"Children (Palestinian Territory, Occupied)",2014-10-19
Barack Obama,Criticize or denounce,China,2014-02-26
Alexis Tsipras,Make statement,Antonis Samaras,2014-10-15
China,Make optimistic comment,Myanmar,2014-11-08
Ethiopia,Host a visit,Uhuru Muigai Kenyatta,2014-03-12
Barack Obama,Make a visit,China,2014-10-21
Morocco,"Arrest, detain, or charge with legal action",Tourist (United Kingdom),2014-10-07
Japan,Meet at a 'third' location,South Korea,2014-04-08
Representatives (Romania),Consult,Victor Ponta,2014-03-03
France,Engage in diplomatic cooperation,Kazakhstan,2014-07-22
Foreign Affairs (Russia),Make a visit,Kuwait,2014-03-26
China,Express intent to engage in diplomatic cooperation (such as policy support),Tajikistan,2014-03-31
Student (Venezuela),Praise or endorse,Government (Venezuela),2014-02-21
François Hollande,Discuss by telephone,Agence France-Presse,2014-01-26
Protester (Egypt),Demonstrate or rally,Police (Egypt),2014-12-01
Militant (Syria),Host a visit,Benjamin Netanyahu,2014-03-10
Police (Australia),Investigate,Citizen (Australia),2014-01-09
Aladdin Boroujerdi,Make statement,Iran,2014-06-30
Vietnam,Praise or endorse,China,2014-06-06
Citizen (Kenya),Appeal to engage in or accept mediation,Government (Kenya),2014-09-01
Other Authorities / Officials (Turkey),"Return, release person(s)",Citizen (Turkey),2014-12-15
John Kerry,Engage in negotiation,"Head of Government (Palestinian Territory, Occupied)",2014-01-04
Thief (India),Use unconventional violence,Citizen (India),2014-06-07
Member of Parliament (India),Express intent to meet or negotiate,Citizen (India),2014-09-26
Philippines,Host a visit,Barack Obama,2014-02-18
Citizen (South Korea),Express intent to meet or negotiate,North Korea,2014-05-20
North Atlantic Treaty Organization,Make statement,Slovenia,2014-10-23
Tim Cook,Make a visit,China,2014-10-24
Afghanistan,Appeal for diplomatic cooperation (such as policy support),Presidential Candidate (Afghanistan),2014-09-09
Armed Gang (Egypt),fight with small arms and light weapons,Police (Egypt),2014-12-30
North Korea,Host a visit,Xi Jinping,2014-06-30
Governor (Angola),Praise or endorse,Rosa Pacavira,2014-02-17
Vietnam,Express intent to cooperate,South Korea,2014-10-02
Police (Ukraine),Consult,People Associated with the Opposition (Ukraine),2014-01-28
Vasundhara Raje,Make an appeal or request,Citizen (India),2014-02-10
Police (Australia),Make an appeal or request,Citizen (Australia),2014-09-07
Police (Indonesia),"Arrest, detain, or charge with legal action",Citizen (Indonesia),2014-06-14
Emperor Akihito,Make a visit,Japan,2014-10-12
John Kerry,Make an appeal or request,Fumio Kishida,2014-07-16
Indigenous People (Nigeria),Make pessimistic comment,Government (Nigeria),2014-10-20
Mamnoon Hussain,Make a visit,Afghanistan,2014-09-30
Employee (India),Engage in diplomatic cooperation,Shiv Sena,2014-10-25
Angela Merkel,Express intent to meet or negotiate,Citizen (Germany),2014-05-29
France,Host a visit,Taavi Rõivas,2014-07-08
Head of Government (Nigeria),Host a visit,Bukola Saraki,2014-03-10
Qatar,Engage in diplomatic cooperation,Iran,2014-11-25
Ri Su Yong,Consult,Sergey Viktorovich Lavrov,2014-10-02
Army Personnel (Egypt),Sign formal agreement,Abdel Fattah Al-Sisi,2014-06-09
Police (Yemen),Engage in material cooperation,Citizen (Yemen),2014-09-30
Hun Sen,Make a visit,Thailand,2014-12-20
Prayuth Chan-ocha,Make statement,Thailand,2014-11-13
Afghanistan,Host a visit,Inter-Services Intelligence,2014-12-22
Pakistan Tehreek-e-Insaf,Consult,Head of Government (Pakistan),2014-08-24
Citizen (Nigeria),Demand,Government (Nigeria),2014-12-11
Iran,Make a visit,Colombia,2014-06-07
China,Express intent to cooperate,France,2014-11-30
Haider Al-Abadi,Appeal for military aid,Legislature (Iraq),2014-10-16
Abdul Aziz,Make a visit,Malaysia,2014-02-12
John Kerry,Make a visit,France,2014-03-30
Court Judge (United Kingdom),Reject,Lawyer/Attorney (United Kingdom),2014-06-13
Oommen Chandy,Consult,Head of Government (India),2014-09-23
Nigerian Bar Association,Demand,Citizen (Nigeria),2014-08-11
African Union,Make statement,Al-Shabaab,2014-10-07
Police (Kenya),Engage in material cooperation,Citizen (Kenya),2014-02-27
Your Party,Make a visit,People Associated with the Opposition (Benin),2014-06-10
Military (South Sudan),Increase military alert status,South Sudan,2014-04-21
John Baird,Express intent to meet or negotiate,John Kerry,2014-10-27
Police (Ukraine),Accuse,Protester (Ukraine),2014-02-21
Member of the Judiciary (Nigeria),Demand,Government (Nigeria),2014-12-29
North Korea,"Return, release person(s)",Japan,2014-07-28
Royal Administration (Nigeria),Accuse,Citizen (Nigeria),2014-07-28
Sergey Viktorovich Lavrov,Engage in negotiation,Cabinet / Council of Ministers / Advisors (United States),2014-04-23
Poland,Criticize or denounce,Federica Mogherini,2014-07-17
Alfred Mutua,Reject,Citizen (Kenya),2014-08-12
Military Personnel (Thailand),Make statement,Thailand,2014-12-15
Citizen (Kenya),Appeal for judicial cooperation,Police (Kenya),2014-08-12
France,Express intent to meet or negotiate,Iran,2014-06-22
Prayuth Chan-ocha,Praise or endorse,Ministry (Thailand),2014-06-12
Reserve Personnel (Qatar),Make a visit,Bahrain,2014-10-04
Mohammad Javad Zarif,Make statement,Ireland,2014-09-30
Citizen (Nigeria),Make an appeal or request,Emmanuel Eweta Uduaghan,2014-10-09
Foreign Affairs (United States),Consult,Julie Bishop,2014-12-05
Protester (Egypt),"Protest violently, riot",Police (Egypt),2014-03-30
UN Security Council,Praise or endorse,Iraq,2014-07-10
Sergey Viktorovich Lavrov,Make statement,Iran,2014-09-15
Other Authorities / Officials (Venezuela),Accuse,Leopoldo López,2014-02-17
Serbia,Host a visit,Romania,2014-12-17
Alexis Tsipras,Criticize or denounce,Evangelos Venizelos,2014-04-02
Police (Greece),"Arrest, detain, or charge with legal action",Citizen (Greece),2014-02-21
Member of Parliament (India),Deny responsibility,Citizen (India),2014-09-24
Iran,Sign formal agreement,Iraq,2014-12-11
High Ranking Military Personnel (India),Engage in negotiation,Omar Abdullah,2014-05-23
Ashraf Ghani Ahmadzai,Consult,Afghanistan,2014-10-22
Head of Government (Egypt),Consult,John Kerry,2014-09-14
Lawyer/Attorney (Australia),Make statement,Member of Parliament (Australia),2014-03-18
South Korea,Make statement,Japan,2014-01-02
Citizen (Nigeria),Criticize or denounce,Media (Africa),2014-10-23
South Korea,Express intent to cooperate,China,2014-07-03
South Africa,Consult,China,2014-03-24
Militant (Nigeria),Use unconventional violence,Citizen (Nigeria),2014-05-21
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,John Kerry,2014-01-16
Citizen (India),Use unconventional violence,Military Personnel (India),2014-01-31
Company - Owner or Operator (Nigeria),Accuse,Citizen (Nigeria),2014-11-11
Angela Merkel,Consult,Xi Jinping,2014-03-09
Lawyer/Attorney (Australia),Make an appeal or request,Member of Parliament (Australia),2014-11-24
Head of Government (Bulgaria),Engage in negotiation,Angela Merkel,2014-12-15
Indigenous People (Nigeria),Make an appeal or request,Government (Nigeria),2014-10-23
Xi Jinping,Make statement,China,2014-07-18
Ishaq Dar,Make a visit,United Arab Emirates,2014-11-23
Police (Hong Kong),Impose administrative sanctions,Lawmaker (Hong Kong),2014-09-30
Head of Government (Greece),Consult,Antonis Samaras,2014-11-13
Nuri al-Maliki,Make statement,Legislature (Iraq),2014-04-19
China,Make an appeal or request,Other Authorities / Officials (United States),2014-01-02
Ashraf Ghani Ahmadzai,Express intent to engage in diplomatic cooperation (such as policy support),Abdullah Abdullah,2014-09-27
Vitaliy Yarema,Make statement,Police (Ukraine),2014-07-09
Foreign Affairs (Russia),Accuse,Canada,2014-04-22
City Mayor (Indonesia),Make an appeal or request,Citizen (Indonesia),2014-02-07
South Korea,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-07-09
Thailand,"Arrest, detain, or charge with legal action",Citizen (Thailand),2014-06-24
Barack Obama,Consult,Angela Merkel,2014-03-18
Police (Canada),Make statement,Canada,2014-10-21
Armed Rebel (Yemen),Use unconventional violence,Citizen (Yemen),2014-01-27
Police (Australia),Accuse,Citizen (Australia),2014-09-18
Umaru Tanko Al-Makura,Praise or endorse,Citizen (Nigeria),2014-03-24
Election Commission (Afghanistan),Praise or endorse,Presidential Candidate (Afghanistan),2014-09-19
Iraq,Engage in diplomatic cooperation,Iran,2014-02-19
Protester (Egypt),Demonstrate or rally,Police (Egypt),2014-02-23
Thaksin Shinawatra,Accuse,Citizen (Thailand),2014-08-15
Other Authorities / Officials (Nigeria),Make statement,Government (Nigeria),2014-08-08
Protester (Hong Kong),Demonstrate or rally,Police (Hong Kong),2014-12-02
John Kerry,Express intent to meet or negotiate,Sergey Viktorovich Lavrov,2014-12-14
Ireland,Engage in diplomatic cooperation,Iran,2014-10-01
Head of Government (Nigeria),Make an appeal or request,Government (Nigeria),2014-06-27
Member of Parliament (India),Demand,Citizen (India),2014-02-02
Governor (Somalia),Make statement,Al-Shabaab,2014-10-18
Myanmar,Express intent to engage in diplomatic cooperation (such as policy support),Thailand,2014-12-04
Military Personnel - Special (Nigeria),"Arrest, detain, or charge with legal action",Citizen (Nigeria),2014-06-18
South Sudan,Sign formal agreement,Military (South Sudan),2014-05-16
Fiji,Host a visit,Barack Obama,2014-11-23
Thailand,Host a visit,Iran,2014-11-26
Court Judge (Kenya),Coerce,Citizen (Kenya),2014-09-25
South Korea,Engage in negotiation,Philippines,2014-02-21
Massoud Barzani,Investigate,Iraq,2014-06-26
Lawyer/Attorney (South Korea),"Arrest, detain, or charge with legal action",Lawmaker (South Korea),2014-08-20
China,Make an appeal or request,Japan,2014-10-28
Governor (Kenya),Accuse,Citizen (Kenya),2014-06-06
Special Court (Pakistan),"Arrest, detain, or charge with legal action",Pervez Musharraf,2014-05-14
Vietnam,Provide aid,Cambodia,2014-01-07
Council of Europe,Make a visit,Romania,2014-04-03
Gen Prayut Chan-o-cha,Make a visit,Cambodia,2014-10-31
Abdiweli Sheikh Ahmed,Make a visit,Head of Government (Djibouti),2014-02-17
Park Won-soon,Make empathetic comment,Citizen (South Korea),2014-05-15
Government (Nigeria),"Arrest, detain, or charge with legal action",Terrorist (Boko Haram),2014-11-10
Defense / Security Ministry (Egypt),Make a visit,Kuol Manyang Juuk,2014-03-23
Benjamin Netanyahu,Consult,Barack Obama,2014-03-16
Jitan Ram Manjhi,Make an appeal or request,Citizen (India),2014-11-13
Massoud Barzani,Express intent to meet or negotiate,Iraq,2014-11-22
Lawyer/Attorney (Australia),Make statement,Police (Australia),2014-08-19
China,Host a visit,Malaysia,2014-03-21
Cleric (Iraq),Make a visit,Iran,2014-11-23
Envoy (United States),Express intent to meet or negotiate,Japan,2014-10-24
Ministry (Nigeria),Make statement,Government (Nigeria),2014-03-07
John Kerry,Make a visit,Afghanistan,2014-08-07
Foreign Affairs (Georgia),Make an appeal or request,Citizen (Georgia),2014-06-12
Japan,Express intent to engage in diplomatic cooperation (such as policy support),China,2014-10-17
Protester (Hong Kong),Consult,Carrie Lam,2014-10-02
Joseph Robinette Biden,Praise or endorse,Arseniy Yatsenyuk,2014-03-13
Aam Aadmi Party,"Accuse of crime, corruption",Citizen (India),2014-02-23
Iraq,Host a visit,Haider Al-Abadi,2014-09-20
South Korea,Express intent to meet or negotiate,China,2014-07-10
UN Security Council,Criticize or denounce,South Sudan,2014-08-15
Iran,Express intent to provide military aid,Iraq,2014-07-01
Citizen (Czech Republic),Criticize or denounce,Foreign Affairs (Czech Republic),2014-11-23
Julius Malema,Make statement,ANC Youth League,2014-09-12
Afghanistan,Praise or endorse,Military Personnel - Special (Afghanistan),2014-10-11
South Africa,Consult,Congo,2014-03-24
Qatar,Engage in diplomatic cooperation,Sudan,2014-04-03
François Hollande,Make statement,France,2014-12-31
Iraq,Engage in diplomatic cooperation,Japan,2014-07-21
Police (Australia),Accuse,Citizen (Australia),2014-08-06
African Union,Make a visit,Guinea,2014-09-05
South Korea,Express intent to meet or negotiate,Japan,2014-11-23
Ma Ying Jeou,Consult,Xi Jinping,2014-01-28
Nabih Berri,Consult,Iran,2014-03-02
Protester (Ukraine),"Protest violently, riot",Police (Ukraine),2014-01-29
South Korea,Host a visit,Pope Francis,2014-08-11
Nuri al-Maliki,Make statement,Haider Al-Abadi,2014-08-17
Al-Shabaab,Make statement,Ethiopia,2014-03-17
Niger,Host a visit,France,2014-07-18
Member of the Judiciary (Brazil),Coerce,Citizen (Brazil),2014-10-27
China,Host a visit,Ashraf Ghani Ahmadzai,2014-10-25
Colombia,Reject,Head of Government (Colombia),2014-01-28
Barack Obama,Consult,Raúl Castro,2014-12-17
Police (Philippines),"Arrest, detain, or charge with legal action",Criminal (Philippines),2014-11-26
China,Make an appeal or request,Japan,2014-01-16
Police (Israel),Investigate,Criminal (Israel),2014-12-29
Terrorist (Boko Haram),Use unconventional violence,Citizen (Nigeria),2014-02-17
Viktor Orban,Consult,György Matolcsy,2014-12-17
John Kerry,Make a visit,China,2014-07-20
China,Host a visit,Lawmaker (Japan),2014-05-04
Ashraf Ghani Ahmadzai,Make statement,Afghanistan,2014-09-29
Mohammad Javad Zarif,Make statement,Iran,2014-07-13
Barack Obama,Express intent to de-escalate military engagement,Afghanistan,2014-09-12
Iran,Make a visit,Legislature (Ecuador),2014-06-01
Bismillah Khan Mohammadi,Praise or endorse,Military Personnel (Afghanistan),2014-06-17
William Ruto,Make a visit,Ethiopia,2014-06-12
Afghanistan,"Arrest, detain, or charge with legal action",Military Personnel (Afghanistan),2014-02-18
Military (Philippines),Mobilize or increase armed forces,Philippines,2014-12-24
France,Engage in diplomatic cooperation,Morocco,2014-05-23
New Zealand,Host a visit,Indigenous People (India),2014-08-28
Governor (India),"Arrest, detain, or charge with legal action",Citizen (India),2014-11-13
Citizen (United Kingdom),Demonstrate or rally,Northern Ireland,2014-05-03
Company - Owner or Operator (Nigeria),Make an appeal or request,Government (Nigeria),2014-12-17
Xi Jinping,Express intent to engage in diplomatic cooperation (such as policy support),Cristina Fernández de Kirchner,2014-07-18
Jackson Mandago,Make statement,William Ruto,2014-09-18
Cambodia,Make a visit,Phung Quang Thanh,2014-12-05
Japan,Consult,China,2014-07-02
Benjamin Netanyahu,Consult,Barack Obama,2014-07-10
Mauritania,Host a visit,African Union,2014-09-24
Cabinet / Council of Ministers / Advisors (Angola),Make statement,Angola,2014-12-19
John Kerry,Praise or endorse,Afghanistan,2014-04-06
Boko Haram,Make pessimistic comment,Government (Nigeria),2014-12-01
Women (Malaysia),Accuse,Malaysia,2014-03-24
Media Personnel (Pakistan),Make statement,Government (Pakistan),2014-02-13
Citizen (India),Criticize or denounce,Thief (India),2014-06-18
Men (Morocco),Use unconventional violence,Morocco,2014-08-25
Ibrahim Boubacar Keïta,Make a visit,Mauritania,2014-02-15
Poland,Express intent to cooperate,France,2014-09-09
South Korea,fight with small arms and light weapons,North Korea,2014-05-30
Caroline Kennedy,Make a visit,Japan,2014-01-22
Foreign Affairs (South Africa),Demand diplomatic cooperation (such as policy support),Iran,2014-09-11
Julie Bishop,Make a visit,Philippines,2014-02-20
Police (Belgium),Make statement,Protester (Belgium),2014-11-07
Citizen (Nigeria),Accuse,Head of Government (Nigeria),2014-05-19
Police (Israel),fight with small arms and light weapons,"Children (Palestinian Territory, Occupied)",2014-09-07
Court Judge (Nigeria),Accuse,Citizen (Nigeria),2014-01-13
Mohamed Ibn Chambas,Make statement,Representatives (Sudan),2014-05-06
Philippines,Host a visit,Japan,2014-10-25
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,Ethiopia,2014-08-27
Member of the Judiciary (Nigeria),"Arrest, detain, or charge with legal action",Citizen (Nigeria),2014-04-04
China,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014-02-14
Police (Indonesia),Investigate,Citizen (Indonesia),2014-07-07
Nurse (India),Make a visit,Iraq,2014-07-07
Military (United Kingdom),Sexually assault,Citizen (United Kingdom),2014-06-11
Iran,Engage in diplomatic cooperation,South Korea,2014-03-04
Uhuru,Make an appeal or request,Citizen (Kenya),2014-01-01
Government (Syria),Accuse,Armed Rebel (Syria),2014-04-15
Government (Nigeria),Provide aid,Citizen (Nigeria),2014-02-17
Employee (India),Express intent to meet or negotiate,Citizen (India),2014-04-28
Combatant (Islamic State of Iraq and the Levant),Use unconventional violence,Military (Lebanon),2014-08-10
Vasundhara Raje,Investigate,Citizen (India),2014-05-06
Foreign Affairs (Singapore),Make statement,Iran,2014-12-19
Oluṣẹgun Ọbasanjọ,Accuse,Citizen (Nigeria),2014-02-17
Head of Government (India),Make an appeal or request,Citizen (India),2014-12-14
Kim Jong-Un,Criticize or denounce,Julie Bishop,2014-06-28
Thailand,Express intent to cooperate,Philippines,2014-08-04
Foreign Affairs (Singapore),Consult,John Kerry,2014-05-13
Abdel Fattah Al-Sisi,Make a visit,China,2014-12-20
Citizen (Thailand),Demonstrate or rally,Thailand,2014-11-17
Children (Israel),Use unconventional violence,Israeli Defense Forces,2014-06-19
Arnaud Montebourg,Make statement,Education Ministry (France),2014-08-25
Citizen (India),Use unconventional violence,Business (Bangladesh),2014-06-07
Activist (Thailand),Use conventional military force,Protester (Thailand),2014-01-28
People Associated with the Opposition (Bahrain),"Impose embargo, boycott, or sanctions",Al Wefaq National Islamic Society,2014-12-29
Tajikistan,Host a visit,Xi Jinping,2014-09-21
Cabinet / Council of Ministers / Advisors (United States),Consult,Benjamin Netanyahu,2014-01-24
Tehrik-i-Taliban Pakistan,Make an appeal or request,Government (Pakistan),2014-04-10
Sun Yuxi,Make a visit,Afghanistan,2014-07-28
Mamnoon Hussain,Express intent to meet or negotiate,Xi Jinping,2014-02-18
Citizen (Nigeria),Make an appeal or request,Other Authorities / Officials (Nigeria),2014-05-03
France,Engage in diplomatic cooperation,China,2014-07-02
Villager (Thailand),Bring lawsuit against,Citizen (Thailand),2014-04-22
Cambodia,Consult,Tea Banh,2014-09-02
Iraq,Host a visit,Haider Al-Abadi,2014-10-20
Citizen (Australia),Use unconventional violence,Police (Australia),2014-12-17
Protester (Egypt),Demonstrate or rally,Police (Egypt),2014-08-11
North Korea,Host a visit,Kim Jong-Un,2014-09-26
Catherine Ashton,Express intent to meet or negotiate,Cabinet / Council of Ministers / Advisors (United States),2014-04-09
Military (China),Make statement,China,2014-08-29
UN Security Council,Express intent to provide military protection or peacekeeping,South Sudan,2014-05-27
Vitali Klitschko,Appeal for de-escalation of military engagement,Police (Ukraine),2014-01-23
North Korea,Reject,South Korea,2014-01-27
South Korea,Demand,Japan,2014-03-06
Police (Namibia),"Arrest, detain, or charge with legal action",Citizen (Namibia),2014-07-24
Prayuth Chan-ocha,Make statement,Thailand,2014-06-13
Angela Merkel,Threaten,Government (Germany),2014-09-13
Iraq,Expel or deport individuals,Militant (Iraq),2014-05-10
Citizen (Nigeria),Demand,Education (Nigeria),2014-02-18
Kazakhstan,Sign formal agreement,Iran,2014-09-11
Malaysia,Host a visit,USS Kidd,2014-03-13
Michael Sata,Make statement,China,2014-06-21
Mohammad Javad Zarif,Discuss by telephone,Federica Mogherini,2014-08-24
Terrorist (Boko Haram),"Abduct, hijack, or take hostage",Citizen (Nigeria),2014-06-16
Head of Government (South Korea),Make statement,South Korea,2014-12-11
Boko Haram,"Abduct, hijack, or take hostage",Citizen (Nigeria),2014-05-01
Sergey Viktorovich Lavrov,Consult,Fumio Kishida,2014-02-01
Benjamin Netanyahu,Meet at a 'third' location,Cabinet / Council of Ministers / Advisors (United States),2014-12-17
Citizen (Nigeria),Make an appeal or request,Company - Owner or Operator (Nigeria),2014-09-09
Boko Haram,"Abduct, hijack, or take hostage",Citizen (Nigeria),2014-07-07
Sierra Leone,Host a visit,Kaci Hickox,2014-10-29
Vietnam,Express intent to cooperate,Thailand,2014-06-27
Citizen (Thailand),"Obstruct passage, block",Thailand,2014-01-13
Citizen (Mauritius),Use unconventional violence,Police (Mauritius),2014-09-09
Japan,Express intent to engage in diplomatic cooperation (such as policy support),South Korea,2014-12-02
John Kerry,Demand,Sergey Viktorovich Lavrov,2014-05-30
Men (Indonesia),fight with small arms and light weapons,Police (Indonesia),2014-01-01
Citizen (Malaysia),Express intent to meet or negotiate,Thailand,2014-02-24
Police (Malaysia),Investigate,Malaysia,2014-03-16
François Hollande,Demand,France,2014-12-31
Police (Australia),Make an appeal or request,Citizen (Australia),2014-10-12
Protester (Thailand),Threaten,Citizen (Thailand),2014-05-01
Citizen (Kenya),Reject,William Ruto,2014-12-05
Governor (Kenya),Criticize or denounce,Government (Kenya),2014-02-11
Daniel Russel,Express intent to meet or negotiate,Japan,2014-06-10
Ministry (France),Make statement,Government (France),2014-02-27
Japan,Express intent to cooperate,China,2014-12-09
The Hague,Host a visit,Julie Bishop,2014-03-24
Citizen (Kenya),Make an appeal or request,Uhuru,2014-01-26
Barack Obama,Make statement,China,2014-12-04
Citizen (India),Sexually assault,Employee (India),2014-01-07
Government (Kenya),Expel or deport individuals,Citizen (Kenya),2014-01-23
Armed Gang (Libya),Confiscate property,Member of Parliament (Libya),2014-05-19
Ministry (Nigeria),Demand,Citizen (Nigeria),2014-08-18
Mohammad Javad Zarif,Express intent to meet or negotiate,Cabinet / Council of Ministers / Advisors (United States),2014-02-02
Association of Southeast Asian Nations,Express intent to meet or negotiate,Myanmar,2014-05-10
France,Engage in negotiation,Iran,2014-11-30
Japan,"Express intent to ease economic sanctions, boycott, or embargo",North Korea,2014-06-11
China,Express intent to engage in diplomatic cooperation (such as policy support),South Africa,2014-09-04
Military Personnel (Yemen),Accuse,Militant (Yemen),2014-11-06
Armed Gang (Afghanistan),Use unconventional violence,Afghanistan,2014-07-16
Abdolreza Rahmani-Fazli,Make statement,Iran,2014-03-30
Hezbollah,Make statement,Military (Lebanon),2014-09-23
Barack Obama,Threaten,North Korea,2014-04-27
Military (Thailand),Investigate,Thailand,2014-08-25
Cabinet / Council of Ministers / Advisors (United States),Meet at a 'third' location,Benjamin Netanyahu,2014-12-17
New Zealand,Ease administrative sanctions,Fiji,2014-03-31
Tanzania,Host a visit,Tourist (United Kingdom),2014-07-11
Other Authorities / Officials (Nigeria),Make statement,Government (Nigeria),2014-04-08
Joseph Robinette Biden,Make an appeal or request,Nuri al-Maliki,2014-01-08
"Government (Palestinian Territory, Occupied)",Make statement,Hamas,2014-05-29
Protester (Hong Kong),Engage in negotiation,Carrie Lam,2014-10-03
New Zealand,Engage in diplomatic cooperation,Iran,2014-06-22
Thailand,Praise or endorse,China,2014-11-10
Jonah David Jang,Appeal for diplomatic cooperation (such as policy support),Citizen (Nigeria),2014-10-16
Iraq,Engage in diplomatic cooperation,Canada,2014-02-24
China,Make optimistic comment,Iran,2014-05-22
Iran,Host a visit,Radoslaw Sikorski,2014-03-01
Mukhtar Ramalan Yero,Make statement,Government (Nigeria),2014-12-09
Citizen (India),Use unconventional violence,Thief (India),2014-08-03
John Kerry,Rally support on behalf of,Government (Venezuela),2014-02-17
Citizen (Thailand),"Defy norms, law",National Council for Peace and Order of Thailand,2014-05-25
China,Express intent to cooperate,Japan,2014-11-27
Catherine Ashton,Consult,Mohammad Javad Zarif,2014-09-01
South Korea,Engage in symbolic act,Citizen (North Korea),2014-10-22
Haider Al-Abadi,Make statement,Iraq,2014-12-02
Cabinet / Council of Ministers / Advisors (Israel),Praise or endorse,Benjamin Netanyahu,2014-11-26
Ministry (Nigeria),Express intent to cooperate,Citizen (Nigeria),2014-07-17
Head of Government (India),Reject,Citizen (India),2014-01-03
Iran,Engage in diplomatic cooperation,United Arab Emirates,2014-05-31
Israeli Defense Forces,Use conventional military force,Children (Israel),2014-02-28
Philippines,"Arrest, detain, or charge with legal action",Foreign Affairs (Italy),2014-04-07
Citizen (India),Make an appeal or request,Election Commission (India),2014-04-21
Cambodia,Use tactics of violent repression,Veera Somkwamkid,2014-07-03
Member of Parliament (Australia),Engage in negotiation,Citizen (Australia),2014-08-13
Japan,Express intent to meet or negotiate,South Korea,2014-07-18
Election Commission (Afghanistan),Make an appeal or request,Afghanistan,2014-04-02
Police (Yemen),Use conventional military force,Citizen (Yemen),2014-05-14
Foreign Affairs (United States),Make statement,Afghanistan,2014-02-13
China,Express intent to meet or negotiate,South Africa,2014-07-07
Xi Jinping,Consult,Cristina Fernández de Kirchner,2014-07-25
Citizen (India),Express intent to cooperate,Employee (India),2014-10-31
United Arab Emirates,Express intent to cooperate,Bahrain,2014-11-25
Governor (Kenya),Make an appeal or request,Citizen (Kenya),2014-07-16
Riek Machar,Make statement,John Kerry,2014-05-03
Victor Ponta,Make a visit,Romania,2014-07-29
Activist (Syria),Make statement,Armed Rebel (Syria),2014-06-03
Dragomir Stoynev,Express intent to meet or negotiate,Guenther Oettinger,2014-04-24
Ministry (Nigeria),Engage in diplomatic cooperation,Assemblies (Nigeria),2014-12-06
China,"Reject proposal to meet, discuss, or negotiate",Japan,2014-08-11
Indigenous People (India),Refuse to yield,Citizen (India),2014-05-28
Sudan,Accuse,Government (Sudan),2014-10-20
Citizen (Nigeria),Praise or endorse,Muhammadu Buhari,2014-10-14
Angela Merkel,Reject,Citizen (Germany),2014-12-08
Antonis Samaras,Express intent to cooperate,Evangelos Venizelos,2014-09-30
China,Sign formal agreement,Japan,2014-12-31
François Hollande,Demand,France,2014-03-24
Ministry (Iran),Make statement,Iran,2014-06-14
China,Engage in negotiation,South Korea,2014-11-09
Military (Mali),Express intent to cooperate militarily,Military (France),2014-12-15
