head,relation,tail
Kuwait,Provide economic aid,Mauritania
Foreign Affairs (United States),Make an appeal or request,France
Benjamin Netanyahu,Host a visit,Angela Merkel
Foreign Affairs (United States),Consult,Japan
UN Security Council,Express intent to settle dispute,South Sudan
Governor (Thailand),Demand,Citizen (Thailand)
Jatuporn Prompan,Make an appeal or request,National United Front for Democracy Against Dictatorship
Royal Administration (Spain),Grant diplomatic recognition,Morocco
Lawmaker (Argentina),Make statement,Julio Cobos
Cristina Fernández de Kirchner,Make statement,People Associated with the Opposition (Argentina)
John Kerry,Express intent to meet or negotiate,Canada
Lawmaker (Japan),Express intent to meet or negotiate,Yu Zhengsheng
Mohammad Sharar,Make a visit,Foreign Affairs (Kuwait)
Minister Patnaik,Make an appeal or request,Member of Parliament (India)
Efkan Ala,Make statement,Heydar Aliyev
François Hollande,Host a visit,Jean-Michel Baylet
Head of Government (Nigeria),Praise or endorse,Citizen (Nigeria)
Comoros,Sign formal agreement,France
International Government Organizations,Rally support on behalf of,China
China,Praise or endorse,Maldives
Joseph Robinette Biden,Demand diplomatic cooperation (such as policy support),Iraq
Reserve Personnel (Iran),Express intent to meet or negotiate,Iran
Uhuru Muigai Kenyatta,Accede to demands for change in leadership,William Ruto
Foreign Affairs (United States),Make an appeal or request,UN Security Council
Police (Kenya),Engage in material cooperation,Government (Kenya)
Prayuth Chan-ocha,Praise or endorse,Vietnam
Tajikistan,Host a visit,Head of Government (Pakistan)
Police (South Africa),Use conventional military force,Member of Parliament (South Africa)
Military (Mali),Cooperate militarily,Military (France)
Democratic Party (Nigeria),Praise or endorse,Muhammadu Buhari
Insurgent (Afghanistan),Use unconventional violence,National Directorate of Security
Fumio Kishida,Make statement,Vietnam
Russian Navy,Make a visit,China
Presidential Candidate (Afghanistan),Make an appeal or request,Election Commission (Afghanistan)
Citizen (India),Use unconventional violence,Thief (India)
Defense / Security Ministry (United States),Consult,Sergey Kuzhugetovich Shoygu
Election Commission (Afghanistan),Engage in negotiation,Abdullah Abdullah
Election Commission (Fiji),Express intent to meet or negotiate,Political Parties (Fiji)
China,Express intent to engage in diplomatic cooperation (such as policy support),Canada
Citizen (Nigeria),Demand,Labor Union (Nigeria)
Philippines,"Arrest, detain, or charge with legal action",Police (Philippines)
Head of Government (South Korea),Make a visit,Morocco
Member of Parliament (India),Demand,Citizen (India)
Labor Union (Bahrain),Consult,Business (Bahrain)
Cambodia,Express intent to cooperate,Thailand
Armed Gang (Libya),"Abduct, hijack, or take hostage",Foreign Affairs (South Korea)
Devlet Bahçeli,Consult,Abdullah Gül
Michael Sata,Make an appeal or request,Citizen (Zambia)
Citizen (India),Express intent to cooperate,Bhupinder Singh Hooda
Government (Pakistan),Express intent to meet or negotiate,Pakistan Tehreek-e-Insaf
Viktor Orban,Express intent to meet or negotiate,China
Iran,Praise or endorse,China
France,Consult,European Parliament
Barack Obama,Consider policy option,Nuri al-Maliki
Head of Government (Greece),Host a visit,Alexis Tsipras
Citizen (India),Kill by physical assault,Citizen (Nigeria)
Military (Thailand),Demand,Media (Thailand)
Andrej Kiska,Consult,János Áder
Government (Nigeria),"Arrest, detain, or charge with legal action",Militant (Nigeria)
John Kerry,Express intent to meet or negotiate,Kuwait
Mohammad Javad Zarif,Engage in symbolic act,Iraq
National Coalition for Syrian Revolutionary and Opposition Forces,Consult,Sergey Viktorovich Lavrov
China,Make optimistic comment,North Korea
François Hollande,Consult,Abdel Fattah Al-Sisi
Iran,Provide aid,Afghanistan
Haiti,Express intent to meet or negotiate,Dominican Republic
Cambodia,Host a visit,Sarah Hanson-Young
Police (Philippines),Confiscate property,Criminal (Philippines)
Hamas,Make a visit,Qatar
Xi Jinping,Make a visit,Mexico
France,Praise or endorse,Iraq
Citizen (Kenya),fight with small arms and light weapons,Businessperson (Kenya)
Head of Government (Ukraine),Sign formal agreement,Barack Obama
Citizen (Tanzania),"Obstruct passage, block",Tanzania
North Korea,Host a visit,Foreign Affairs (South Korea)
France,Express intent to provide economic aid,Afghanistan
Iran,Consult,Armenia
North Korea,"Return, release person(s)",Japan
Member of Legislative (Govt) (Slovenia),Make a visit,Iran
Nationalist Movement Party,Engage in symbolic act,Citizen (Turkey)
Jackson Mandago,Criticize or denounce,Citizen (Kenya)
Kuomintang,Make a visit,China
Government (Sweden),Express intent to cooperate,Left Party (Sweden)
Police (South Korea),Seize or damage property,South Korea
Iran,Host a visit,Radoslaw Sikorski
Jonah David Jang,Accuse,Citizen (Nigeria)
Sierra Leone,"Arrest, detain, or charge with legal action",Military (Sierra Leone)
Muhammadu Buhari,Make optimistic comment,Citizen (Nigeria)
Cabinet / Council of Ministers / Advisors (United States),Engage in diplomatic cooperation,South Korea
Philippines,Make an appeal or request,China
Barack Obama,Make an appeal or request,China
Afghanistan,Host a visit,Chuck Hagel
Criminal (Albania),Use unconventional violence,Police (Albania)
John Kerry,Make optimistic comment,Iraq
John Kerry,Praise or endorse,Foreign Affairs (Singapore)
Government (Nigeria),Yield,Medical Personnel (Nigeria)
Sergey Viktorovich Lavrov,Consult,Nuri al-Maliki
Indigenous People (Ethiopia),Cooperate economically,Ethiopia
Militant (Taliban),Engage in negotiation,Government (Pakistan)
Shimon Peres,Make a visit,Sebastian Kurz
Prayuth Chan-ocha,Demand,National Council for Peace and Order of Thailand
Anifah Aman,Consult,Mohammad Javad Zarif
Citizen (Bangladesh),Criticize or denounce,Sheikh Hasina Wajed
Colombia,Host a visit,John F. Kelly
Police (Egypt),fight with small arms and light weapons,Protester (Egypt)
North Korea,Express intent to meet or negotiate,UN Security Council
Pavlo Klimkin,Praise or endorse,North Atlantic Treaty Organization
The Hague,Host a visit,Mogoeng Thomas Reetsang Mogoeng
Immigrants (South Africa),Engage in material cooperation,Police (South Africa)
Alex Salmond,Praise or endorse,Citizen (United Kingdom)
Military (Mexico),Investigate,Mexico
Werner Faymann,Make a visit,Serbia
Ministry (Iran),Consult,Mohammad Javad Zarif
Military Personnel (South Korea),Criticize or denounce,Citizen (South Korea)
Antonis Samaras,Express intent to meet or negotiate,Yannis Stournaras
Prabowo Subianto,Praise or endorse,Citizen (Indonesia)
Government (France),Reject,François Hollande
France,Threaten with military force,Iraq
China,Make optimistic comment,Citizen (India)
Shivraj Singh Chouhan,Make a visit,United Arab Emirates
Businessperson (Australia),Accuse,Citizen (Australia)
Angela Merkel,Reject,Xi Jinping
Angela Merkel,Express intent to meet or negotiate,Citizen (Germany)
Straits Exchange Foundation,Sign formal agreement,Chen Deming
Riek Machar,Discuss by telephone,John Kerry
Guy Scott,Make an appeal or request,Party Member (Zambia)
Mohammad Javad Zarif,Meet at a 'third' location,Iran
Vietnam,Express intent to settle dispute,France
Myanmar,Host a visit,Fumio Kishida
Malaysia,Investigate,Citizen (Malaysia)
François Hollande,Express intent to provide military aid,People Associated with the Opposition (France)
Cambodia,Express intent to engage in diplomatic cooperation (such as policy support),Thailand
Cambodia,Host a visit,Julie Bishop
Iran,Host a visit,Pilgrim (Pakistan)
Foreign Affairs (Latvia),Make a visit,Iran
Abu Bakr al-Baghdadi,Occupy territory,Iraq
Rebel Group (Al Qaeda),Use unconventional violence,Government (Syria)
Mohamed Ibn Chambas,Make statement,Sudan
Tanzania,Praise or endorse,Vietnam
Akitaka Saiki,Consult,Cho Tai-young
Indigenous People (India),Make a visit,New Zealand
Vietnam,Refuse to release persons or property,Protester (Vietnam)
John Kerry,Host a visit,Xi Jinping
Nabih Berri,Make an appeal or request,Legislature (Lebanon)
Iran,Express intent to engage in diplomatic cooperation (such as policy support),Portugal
Colombia,Host a visit,Foreign Affairs (Italy)
Police (Namibia),Demand,Citizen (Namibia)
Khaled al-Obeidi,Make statement,Chuck Hagel
Citizen (Turkey),Accuse,Nationalist Movement Party
Citizen (Nigeria),Express intent to cooperate,Murtala Nyako
Foreign Affairs (Luxembourg),Make a visit,Iran
Xi Jinping,Make statement,Malaysia
Terry McAuliffe,Make a visit,Japan
Arseniy Yatsenyuk,Consult,Pope Francis
Civil Guard,Make a visit,Bolivia
Vietnam,Express intent to meet or negotiate,Laos
Men (South Africa),Threaten,South Africa
Police (Egypt),Make statement,Combatant (Egypt)
Malaysia,Engage in diplomatic cooperation,China
South African National Defence Force,Make statement,Police (South Africa)
The Hague,Host a visit,François Hollande
Didier Burkhalter,Make a visit,Armenia
Thailand,Engage in negotiation,Cambodia
North Atlantic Treaty Organization,Express intent to engage in diplomatic cooperation (such as policy support),Poland
Citizen (Yemen),Appeal to engage in or accept mediation,Governor (Yemen)
Iraqi Communist Party,Make statement,Iraq
Nuri al-Maliki,Bring lawsuit against,Legislature (Iraq)
Defense / Security Ministry (Nigeria),Praise or endorse,Government (Nigeria)
Labor Union (Brazil),Deny responsibility,Citizen (Brazil)
Abu Bakr Abdullah al-Qirbi,Consult,Foreign Affairs (Russia)
Military (Lebanon),Use conventional military force,Islamic Militant (Syria)
John Kerry,Make a visit,Oman
Ashraf Ghani Ahmadzai,Consult,China
Armed Gang (India),Provide aid,Citizen (India)
Criminal (El Salvador),fight with small arms and light weapons,Police (El Salvador)
Men (South Africa),"Abduct, hijack, or take hostage",Radovan Krejcir
Thailand,Sign formal agreement,Cambodia
Tony Tan Keng Yam,Consult,Philippines
Men (Yemen),Use unconventional violence,Police (Yemen)
Medical Association (Nigeria),Sign formal agreement,Government (Nigeria)
Nabih Berri,Consult,Organisation of Islamic Cooperation
Presidential Candidate (Argentina),Make statement,Senate (Argentina)
Governor (Kenya),Express intent to meet or negotiate,William Ruto
Labor Union (India),Use conventional military force,Citizen (India)
Benjamin Netanyahu,Praise or endorse,Likud
Vitali Klitschko,Express intent to meet or negotiate,Angela Merkel
Citizen (Venezuela),Make an appeal or request,Government (Venezuela)
Sun Yuxi,Express intent to meet or negotiate,Afghanistan
Vincent C. Siew,Make a visit,China
Nicos Anastasiades,Praise or endorse,Medical Personnel (Cyprus)
Japan,Provide economic aid,Myanmar
Kazakhstan,Host a visit,Dmitry Anatolyevich Medvedev
United Arab Emirates,Engage in negotiation,China
Citizen (Thailand),Criticize or denounce,Thailand
Government (Nigeria),Make statement,Indigenous People (Nigeria)
Sudan,Reject,South Sudan
Government (Nigeria),Threaten non-force,Citizen (Nigeria)
Government (Nigeria),Reduce or stop military assistance,Citizen (Nigeria)
Bahrain,Host a visit,Government Official (United States)
Citizen (Nigeria),Demonstrate or rally,Government (Nigeria)
South Korea,Express intent to engage in diplomatic cooperation (such as policy support),North Korea
Seyran Ohanyan,Make statement,Armenia
Student (Senegal),Use unconventional violence,Military (Senegal)
National Council for Peace and Order of Thailand,"Arrest, detain, or charge with legal action",Citizen (Thailand)
Cristina Fernández de Kirchner,Express intent to meet or negotiate,Pope Francis
Other Authorities / Officials (Philippines),Demand,Philippines
Bahrain,Make statement,Sheikh Hamad bin Isa al Khalifah
Your Party,Consult,Party Member (Japan)
Treasury/Finance Ministry (Japan),Make a visit,Islam Karimov
Member of Parliament (Australia),Make pessimistic comment,Citizen (Australia)
China,Criticize or denounce,Foreign Affairs (South Korea)
Thief (India),Sexually assault,Citizen (India)
Media (Africa),Consult,Head of Government (Nigeria)
Al-Shabaab,fight with small arms and light weapons,Citizen (Kenya)
Michael Sata,Consult,Sylvia Masebo
Alex Salmond,Praise or endorse,Nicola Sturgeon
Antonis Samaras,Make an appeal or request,Legislature (Greece)
Ibrahim Shehu Shema,Make an appeal or request,Citizen (Nigeria)
Foreign Affairs (Russia),Deny responsibility,Cabinet / Council of Ministers / Advisors (United States)
Treasury/Finance Ministry (Greece),Deny responsibility,Coalition of the Radical Left
Head of Government (Cuba),Praise or endorse,Raúl Castro
China,Make empathetic comment,North Korea
China,Accuse,Barack Obama
Citizen (India),Use unconventional violence,Pilgrim (India)
Mauritania,Host a visit,Ibrahim Boubacar Keïta
Yair Lapid,Criticize or denounce,Tzipi Livni
Government (South Africa),Make statement,South Africa
Women (Kenya),Yield,Police (Kenya)
Khaled al-Obeidi,Discuss by telephone,Chuck Hagel
Tzipi Livni,"Abduct, hijack, or take hostage",Benjamin Netanyahu
Protester (Ukraine),"Protest violently, riot",Head of Government (Ukraine)
Barack Obama,Consult,Royal Administration (Saudi Arabia)
North Atlantic Treaty Organization,Express intent to meet or negotiate,Abdullah Abdullah
Abdullah Abdullah,Criticize or denounce,Ashraf Ghani Ahmadzai
Member of Parliament (Thailand),Make statement,Party Member (Thailand)
Xi Jinping,Engage in negotiation,Sumitra Mahajan
Combatant (Taliban),Carry out suicide bombing,Afghanistan
Jens Stoltenberg,Express intent to meet or negotiate,North Atlantic Treaty Organization
Other Authorities / Officials (Philippines),Make optimistic comment,Philippines
Federica Mogherini,Make optimistic comment,Iran
Defense / Security Ministry (India),Criticize or denounce,Citizen (India)
Military (Thailand),Provide humanitarian aid,Citizen (Thailand)
Military Personnel - Special (Mexico),Provide aid,Other Authorities / Officials (Mexico)
Kaci Hickox,Make a visit,Sierra Leone
Barack Obama,Make statement,France
Citizen (Yemen),Accuse,Militant (Yemen)
Men (Yemen),fight with small arms and light weapons,Police (Yemen)
Festus Keyamo,Accuse of human rights abuses,Citizen (Nigeria)
John Kerry,Express intent to meet or negotiate,Fuad Masum
China,Criticize or denounce,Lawmaker (Japan)
Alexis Tsipras,Make a visit,Ireland
Guinea,Reduce relations,Sierra Leone
György Matolcsy,Engage in symbolic act,Viktor Orban
Election Commission (India),Make statement,Aam Aadmi Party
South Korea,Make statement,China
Citizen (Kenya),Appeal for release of persons or property,Government (Kenya)
Dominican Republic,Engage in negotiation,Haiti
Philippines,Make statement,City Mayor (Philippines)
China,Consult,Xi Jinping
Angela Merkel,Make an appeal or request,François Hollande
Jorge Mejia,Host a visit,Pope Francis
Citizen (India),Accuse,Sukhbir Badal
Staffan de Mistura,Express intent to meet or negotiate,Sergey Viktorovich Lavrov
Armenia,Express intent to meet or negotiate,Iran
Massoud Barzani,Make a visit,Iraq
John Kerry,Make statement,John Baird
Zakir Hasanov,Make a visit,Bahrain
Citizen (Turkey),Accuse,Ministry (Turkey)
Ashraf Ghani Ahmadzai,"Declare truce, ceasefire",Abdullah Abdullah
Kim Jong-Un,Consult,South Korea
Joachim Gauck,Consult,Xi Jinping
Japan,Host a visit,Emperor Akihito
Nuri al-Maliki,Consult,Haider Al-Abadi
Middle East,Host a visit,Foreign Affairs (South Korea)
Julio Cobos,Consult,Senate (Argentina)
Government (Nigeria),Make statement,Public Courts (Nigeria)
Philippines,Engage in negotiation,Foreign Affairs (Norway)
Malaysia,Host a visit,New Zealand
Middle East,Host a visit,New Zealand
South Korea,Ease administrative sanctions,Defector (North Korea)
Military Personnel (Kenya),Praise or endorse,Uhuru Muigai Kenyatta
Citizen (Turkey),Make an appeal or request,Member of the Judiciary (Turkey)
Julie Bishop,Make a visit,Philippines
Boko Haram,Engage in negotiation,Government (Nigeria)
France,Make an appeal or request,Government (Syria)
Military (Turkey),Coerce,Protester (Turkey)
Company - Owner or Operator (India),Threaten,Citizen (India)
Iraq,Host a visit,Pope Francis
Xi Jinping,Consult,Epeli Nailatikau
Ethiopia,Host a visit,Representatives (United States)
Head of Government (India),Host a visit,Xi Jinping
Nabih Berri,Conduct strike or boycott,Legislature (Lebanon)
Citizen (Thailand),"Conduct suicide, car, or other non-military bombing",Thailand
Amnesty International,Criticize or denounce,Government (Nigeria)
UN Security Council,Accuse,South Sudan
Iraq,Host a visit,Government (United States)
Citizen (Nigeria),Engage in diplomatic cooperation,Government (Nigeria)
Malaysia,Engage in diplomatic cooperation,Vietnam
Citizen (Sudan),Appeal to engage in or accept mediation,Government (Sudan)
Oluṣẹgun Ọbasanjọ,Accuse,Citizen (Nigeria)
North Korea,Decline comment,South Korea
Patricia de Lille,Express intent to cooperate,Lindiwe Nonceba Sisulu
Barack Obama,Praise or endorse,Hamas
Other Authorities / Officials (Philippines),Appeal for intelligence,Moro Islamic Liberation Front
Mohammad Javad Zarif,Consult,Organisation of Islamic Cooperation
Philippines,Expel or deport individuals,Citizen (Australia)
Andrej Kiska,Express intent to meet or negotiate,Milos Zeman
Government (Kenya),Impose restrictions on political freedoms,Citizen (Kenya)
Julio Cobos,Consult,Sergio Massa
Macky Sall,Praise or endorse,Ibrahim Boubacar Keïta
Military (Vietnam),Make a visit,Cambodia
Iran,Make a visit,Mexico
Indigenous People (Greece),Consult,Kyriakos Gerontopoulos
John Kerry,Make statement,Benjamin Netanyahu
Malaysia,"Arrest, detain, or charge with legal action",Citizen (Malaysia)
Joao Lourenco,Make a visit,United Arab Emirates
Citizen (India),Use unconventional violence,Bhupinder Singh Hooda
Karl Erjavec,Express intent to meet or negotiate,Sergey Viktorovich Lavrov
UN Security Council,Provide military protection or peacekeeping,South Sudan
Iran,Consult,Nabih Berri
Massoud Barzani,Make a visit,Falah Mustafa
Foreign Affairs (United States),Make empathetic comment,North Korea
Governor (Kenya),Make pessimistic comment,Citizen (Kenya)
Daniel Russel,Make a visit,Foreign Affairs (South Korea)
Democratic Party (Nigeria),Make statement,Government (Nigeria)
China,Reduce relations,Vietnam
Police (South Africa),Investigate,Lungelo Dlamini
Chaturon Chaisang,Reject,National Council for Peace and Order of Thailand
UN Security Council,Praise or endorse,Organisation of Islamic Cooperation
Vincent C. Siew,Express intent to meet or negotiate,Xi Jinping
China,Provide aid,Malaysia
Citizen (Thailand),Accuse,Interim Government (Thailand)
John Kerry,Praise or endorse,Ireland
Court Judge (Kenya),Demand,Uhuru Muigai Kenyatta
Iran,Accuse,Benjamin Netanyahu
Xi Jinping,Make statement,France
China,Appeal to others to settle dispute,South Sudan
Yair Lapid,Express intent to meet or negotiate,Tzipi Livni
Armed Gang (RENAMO),Use unconventional violence,Police (Mozambique)
Vietnam,Host a visit,North Korea
Other Authorities / Officials (Libya),"Arrest, detain, or charge with legal action",Muammar al-Qaddafi
United Arab Emirates,Host a visit,Catherine Ashton
Tahirul Qadri,Make statement,Imran Khan
John Kerry,Make optimistic comment,Massoud Barzani
South Sudan,Receive deployment of peacekeepers,China
Afghanistan,Host a visit,Envoy (United States)
Head of Government (India),Consult,Employee (India)
Mexico,Engage in diplomatic cooperation,China
Jakaya Mrisho Kikwete,Make a visit,Angola
Chuck Hagel,Express intent to meet or negotiate,Haider Al-Abadi
John Kerry,Make an appeal or request,North Korea
Ibrahim Boubacar Keïta,Make statement,Macky Sall
Iran,Express intent to engage in diplomatic cooperation (such as policy support),Kuwait
Military Personnel (Kenya),Appeal for diplomatic cooperation (such as policy support),Citizen (Kenya)
Citizen (Venezuela),Demonstrate or rally,Other Authorities / Officials (Venezuela)
Mekong River Commission,Make a visit,Vietnam
Citizen (India),Make pessimistic comment,Medical Personnel (India)
Yulia Tymoshenko,Consult,Protester (Ukraine)
China,Host a visit,Lawmaker (Hong Kong)
Sergey Viktorovich Lavrov,Engage in negotiation,Paolo Gentiloni
Oman,Host a visit,Poland
Chuck Hagel,Express intent to meet or negotiate,Abdullah Abdullah
Iran,Consult,Sergey Viktorovich Lavrov
Oversight Court (South Korea),"Arrest, detain, or charge with legal action",Intelligence Chief (South Korea)
Protester (Ukraine),Consult,Vitali Klitschko
Indigenous People (South Africa),Use unconventional violence,Men (South Africa)
South Korea,Appeal for diplomatic cooperation (such as policy support),Japan
Military Personnel (Thailand),Occupy territory,Thailand
Employee (India),Demonstrate or rally,Head of Government (India)
Uhuru Muigai Kenyatta,Make an appeal or request,Government (Kenya)
Senate (Brazil),Consult,Company - Owner or Operator (Brazil)
Japan,Consult,Wang Yang
Murderer (Nigeria),Kill by physical assault,Citizen (Nigeria)
Kazakhstan,Consult,Tajikistan
China,Praise or endorse,Barack Obama
Foreign Affairs (Ukraine),Deny responsibility,Foreign Affairs (Russia)
Pierre Nkurunziza,Make a visit,China
Al Jazeera,Make an appeal or request,Government (Kenya)
Algirdas Butkevičius,Engage in symbolic act,Citizen (Lithuania)
Muslim (Nigeria),Make an appeal or request,Government (Nigeria)
Government (Kenya),Investigate,Al Jazeera
Foreign Affairs (Middle East),Engage in negotiation,John Kerry
Legislature (Libya),Host a visit,Envoy (United Kingdom)
Ethiopia,Consult,Djibouti
Philippines,"Return, release person(s)",Men (Philippines)
Abdullah Abdullah,Conduct strike or boycott,Ashraf Ghani Ahmadzai
Citizen (Slovakia),Accuse,Andrej Kiska
China,Praise or endorse,Sushil Koirala
Chuck Hagel,Consult,Haider Al-Abadi
Jakaya Mrisho Kikwete,Host a visit,Nguyen Phu Trong
Sierra Leone,Host a visit,High Commission for Refugees
Legislature (Iraq),Consult,Massoud Barzani
John Kerry,Express intent to meet or negotiate,Angela Merkel
France,Host a visit,Elizabeth II
Riek Machar,Host a visit,UN Security Council
China,Host a visit,Businessperson (Australia)
Sudan,Make statement,Umar al Bashir
Antonis Samaras,Express intent to meet or negotiate,Angela Merkel
Japan,Make a visit,Ma Ying Jeou
Lawyer/Attorney (Australia),"Arrest, detain, or charge with legal action",Member of Parliament (Australia)
Barack Obama,Make a visit,Pope Francis
Mohammad Javad Zarif,Make a visit,Ministry (Turkey)
South Korea,Host a visit,Japan
Student (Cote d'Ivoire),Criticize or denounce,Police (Cote d'Ivoire)
North Atlantic Treaty Organization,Mobilize or increase armed forces,Afghanistan
Member of Parliament (India),"Arrest, detain, or charge with legal action",Citizen (India)
Ethiopia,Host a visit,Foreign Affairs (Israel)
Tatarstan,Host a visit,Islamic Rebirth Party
Taavi Rõivas,Sign formal agreement,Alexander Stubb
Seyran Ohanyan,Consider policy option,Armenia
Sheikh Hasina Wajed,Make a visit,Cambodia
Joaquim Barbosa,Give ultimatum,Citizen (Brazil)
Criminal (Philippines),Yield,Police (Philippines)
Mohammad Javad Zarif,Make statement,Nuri al-Maliki
François Hollande,Express intent to cooperate,Barack Obama
Barack Obama,Praise or endorse,France
Mexico,Host a visit,John Paul II
Militant (Yemen),Use unconventional violence,Police (Yemen)
Joseph Robinette Biden,Consult,Fang Fenghui
Zhang Yesui,Make statement,Malaysia
France,Meet at a 'third' location,Abdel Fattah Al-Sisi
Citizen (India),Make optimistic comment,Aam Aadmi Party
Citizen (India),Accuse,Villager (India)
Arseniy Yatsenyuk,Engage in diplomatic cooperation,International Monetary Fund
Citizen (Malaysia),Make an appeal or request,Ministry (Malaysia)
Barack Obama,Sign formal agreement,Xi Jinping
Vietnam,Praise or endorse,Iran
Angela Merkel,Make optimistic comment,Japan
Military Personnel (Somalia),Use unconventional violence,Armed Band (Somalia)
Citizen (India),Reject,Separatist (India)
UN Security Council,Praise or endorse,Iraq
Citizen (Nigeria),Criticize or denounce,Member of the Judiciary (Nigeria)
Nuri al-Maliki,Demand,Party Member (Iraq)
Barack Obama,Make optimistic comment,Citizen (International)
Isaias Afewerki,Make a visit,Qatar
Vytenis Povilas Andriukaitis,Praise or endorse,Algirdas Butkevičius
Military (Lebanon),Use conventional military force,Extremist (Lebanon)
Head of Government (New Zealand),Make statement,Xi Jinping
Lawyer/Attorney (Australia),Express intent to cooperate,Citizen (Australia)
Head of Government (Egypt),Consult,Royal Administration (Saudi Arabia)
Police (Indonesia),Demand,Citizen (Indonesia)
Criminal (Albania),Kill by physical assault,Police (Greece)
South Sudan,Host a visit,Human Rights Watch
China,Express intent to meet or negotiate,Malaysia
Labor Union (India),Make statement,Employee (India)
Police (Kenya),Appeal for diplomatic cooperation (such as policy support),Citizen (Kenya)
South Korea,Consult,Cho Tai-young
Vietnam,Express intent to meet or negotiate,China
Ministry (Mauritania),Engage in negotiation,Envoy (Spain)
Myanmar,Make a visit,Vietnam
Party Member (Afghanistan),Engage in negotiation,Presidential Candidate (Afghanistan)
Citizen (United Arab Emirates),Accuse,United Arab Emirates
Laos,Consult,Vietnam
France,Consult,Abdel Fattah Al-Sisi
Catherine Ashton,Sign formal agreement,Iran
Victoria Nuland,Express intent to meet or negotiate,Edgars Rinkevics
Barack Obama,Make statement,Mexico
China,Engage in negotiation,Le Hong Anh
Foreign Affairs (Russia),Consult,Cabinet / Council of Ministers / Advisors (United States)
Benjamin Netanyahu,Criticize or denounce,Barack Obama
Belize,Consult,Guatemala
John Kerry,Criticize or denounce,France
Chongwadai,Make statement,Grand National Party
Police (Saudi Arabia),"Return, release person(s)",Citizen (Saudi Arabia)
Student (Hong Kong),Engage in negotiation,Lawmaker (Hong Kong)
Iran,Consult,Behrouz Kamalvandi
Bangladesh Nationalist Party,Threaten,Sheikh Hasina Wajed
Milos Zeman,Praise or endorse,Andrej Kiska
Chuck Hagel,Discuss by telephone,Defense / Security Ministry (Russia)
Yair Lapid,Consult,Benjamin Netanyahu
Fuad Masum,Discuss by telephone,Joseph Robinette Biden
John Kerry,Consult,South Sudan
Citizen (India),Physically assault,Thief (India)
Citizen (Nigeria),Make an appeal or request,Ibrahim Shehu Shema
Benjamin Netanyahu,Make a visit,Barack Obama
Haider Al-Abadi,Express intent to meet or negotiate,Iraq
Cabinet / Council of Ministers / Advisors (United States),Host a visit,Zhang Yesui
Nuri al-Maliki,Praise or endorse,Haider Al-Abadi
Citizen (Indonesia),Make an appeal or request,Lawyer/Attorney (Indonesia)
China,Make statement,Malaysia
Andrej Kiska,Host a visit,Foreign Affairs (Singapore)
Jitan Ram Manjhi,Consult,Tarun Gogoi
Awami (People's) League,Make statement,Bangladesh Nationalist Party
Sushil Koirala,Make statement,Government (Nepal)
Barack Obama,Praise or endorse,Middle East
North Korea,Yield,Japan
Milos Zeman,Make an appeal or request,Citizen (Czech Republic)
Asli Aydintasbas,Make a visit,Iraq
Thailand,Express intent to cooperate,Citizen (Thailand)
Legislature (Greece),Praise or endorse,Head of Government (Greece)
China,Host a visit,Park Won-soon
AB Lithuanian Gas,Consult,Gazprom
Organisation of Islamic Cooperation,Host a visit,Sergey Viktorovich Lavrov
Eritrea,Use conventional military force,Ethiopia
China,Reject,Japan
Cabinet / Council of Ministers / Advisors (Angola),Express intent to engage in diplomatic cooperation (such as policy support),Angola
Somali National Army,Assassinate,Al-Shabaab
François Hollande,Express intent to provide military aid,France
Gerd Mueller,Make a visit,Education (Nigeria)
China,Express intent to provide material aid,Guinea
South Korea,Express intent to cooperate,Portugal
Sergey Viktorovich Lavrov,Consult,Elmar Mammadyarov
Canada,Accuse,China
Education (Nigeria),Host a visit,Kashim Shettima
Mevlut Cavusoglu,Make statement,Mohammad Javad Zarif
Citizen (Australia),Consult,Police (Australia)
People Associated with the Opposition (Russia),Express accord,Other Authorities / Officials (Russia)
Government (Nigeria),Make an appeal or request,Indigenous People (Nigeria)
Other Authorities / Officials (Philippines),Make statement,Military (Philippines)
Abdel Fattah Al-Sisi,Consult,United Arab Emirates
Cabinet / Council of Ministers / Advisors (United States),Express intent to meet or negotiate,Angola
Heraldo Muñoz,Consult,Sergey Viktorovich Lavrov
Fiji,Engage in diplomatic cooperation,China
Party Member (Canada),Make statement,Canada
Police (Kenya),Use tactics of violent repression,Citizen (Kenya)
Government (Pakistan),Express intent to meet or negotiate,Opposition Supporter (Pakistan)
Lawyer/Attorney (United Kingdom),Make an appeal or request,Citizen (United Kingdom)
United Arab Emirates,Host a visit,Haider Al-Abadi
Romania,Engage in diplomatic cooperation,Iran
Iraq,Demand,Nuri al-Maliki
Citizen (Georgia),Demand,Foreign Affairs (Georgia)
Protester (Pakistan),Express intent to meet or negotiate,Government (Pakistan)
Boko Haram,"Return, release person(s)",Citizen (Nigeria)
Antonis Samaras,Make statement,China
Raúl Castro,Consult,Xi Jinping
Sylvia Masebo,Make statement,Michael Sata
Didier Burkhalter,Consult,Tony Tan Keng Yam
Refugee (Namibia),Make a visit,African Union
Poland,Criticize or denounce,Federica Mogherini
Foreign Affairs (United States),Make a visit,Dimitrios Avramopoulos
Citizen (Unidentified State Actor),Provide aid,Iraq
Oommen Chandy,Express intent to cooperate,Citizen (India)
Jonah David Jang,Threaten,Citizen (Nigeria)
Kazakhstan,Engage in negotiation,China
