head,relation,tail,time
China,Engage in diplomatic cooperation,Iran,2014-07-08
Kuwait,Express intent to cooperate,Iran,2014-06-18
China,Make a visit,Vietnam,2014-05-16
Citizen (Australia),Use unconventional violence,Police (Australia),2014-08-06
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-11-13
Chuck Hagel,Express intent to meet or negotiate,China,2014-04-06
New Zealand,Criticize or denounce,Japan,2014-02-10
Barack Obama,Make a visit,China,2014-10-04
Citizen (India),Sexually assault,Employee (India),2014-12-08
Citizen (Nigeria),Appeal for diplomatic cooperation (such as policy support),Government (Nigeria),2014-11-28
John Kerry,Express intent to meet or negotiate,Benjamin Netanyahu,2014-01-06
Milan Chovanec,Consult,Milos Zeman,2014-01-22
Police (Kenya),fight with small arms and light weapons,Citizen (Kenya),2014-06-25
Ashraf Ghani Ahmadzai,Make statement,Abdullah Abdullah,2014-06-26
Foreign Affairs (United States),Express intent to meet or negotiate,Iraq,2014-06-24
Court Judge (India),Demand,Citizen (India),2014-11-30
Barack Obama,Express intent to de-escalate military engagement,Afghanistan,2014-05-29
Protester (Vietnam),"Threaten with political dissent, protest",China,2014-05-17
Yair Lapid,Reject,Benjamin Netanyahu,2014-12-03
Japan,Make statement,North Korea,2014-06-01
Pope Francis,Express intent to meet or negotiate,"Head of Government (Palestinian Territory, Occupied)",2014-05-26
Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-06-03
Angela Merkel,Make a visit,Japan,2014-11-28
Government (Nigeria),Criticize or denounce,Media (Africa),2014-05-23
Boko Haram,"Abduct, hijack, or take hostage",Citizen (Nigeria),2014-08-14
Abdel Fattah Al-Sisi,Express intent to meet or negotiate,Sudan,2014-06-30
Barack Obama,Make statement,Iran,2014-11-17
Kivutha Kibwana,Demand change in leadership,Government (Kenya),2014-09-04
John Kerry,Make statement,Iraq,2014-06-26
Ministry (Nigeria),Make an appeal or request,Rauf Aregbesola,2014-08-12
China,Demand,Vietnam,2014-06-10
John Kerry,Discuss by telephone,Sergey Viktorovich Lavrov,2014-05-06
Vietnam,Accuse,China,2014-05-07
China,Make statement,Militant (Xinjiang Uyghur),2014-03-06
Member of Legislative (Govt) (South Korea),Praise or endorse,Iran,2014-01-27
Sergey Viktorovich Lavrov,Meet at a 'third' location,Mohammad Javad Zarif,2014-09-27
Iran,Reduce or stop military assistance,Iraq,2014-07-09
Police (Israel),Make statement,Criminal (Israel),2014-04-15
Japan,Make statement,North Korea,2014-05-31
Police (Kenya),Express intent to cooperate,Citizen (Kenya),2014-02-25
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,John Kerry,2014-04-01
Jack Straw,Praise or endorse,Iran,2014-01-07
Citizen (India),Make an appeal or request,Employee (India),2014-01-13
Terrorist (Islamic State of Iraq and the Levant),Criticize or denounce,Nuri al-Maliki,2014-06-19
Nuri al-Maliki,Make statement,Iraq,2014-06-14
Government (Kenya),Refuse to yield,Citizen (Kenya),2014-11-03
Court Judge (India),"Return, release person(s)",Citizen (India),2014-02-20
China,Express intent to meet or negotiate,France,2014-11-24
China,Engage in diplomatic cooperation,Japan,2014-04-16
Catherine Ashton,Consult,Mohammad Javad Zarif,2014-05-16
Police (South Korea),Seize or damage property,South Korea,2014-06-12
Criminal (Australia),Physically assault,Police (Australia),2014-09-25
Police (South Africa),Investigate,Men (South Africa),2014-10-27
John Kerry,Express intent to cooperate,Sergey Viktorovich Lavrov,2014-07-19
North Korea,fight with artillery and tanks,South Korea,2014-05-08
Benjamin Netanyahu,Consult,Barack Obama,2014-02-27
Protester (Pakistan),"Obstruct passage, block",Legislature (Pakistan),2014-08-20
Nuri al-Maliki,Make a visit,Iraq,2014-02-15
Lawyer/Attorney (Australia),Make an appeal or request,Citizen (Australia),2014-05-12
Pavlo Klimkin,Make a visit,Federica Mogherini,2014-11-17
Børge Brende,Make optimistic comment,Iran,2014-11-02
Citizen (Kenya),Accuse,Government (Kenya),2014-10-14
Military (Thailand),Use tactics of violent repression,Activist (Thailand),2014-05-23
Barack Obama,Express intent to meet or negotiate,Japan,2014-01-30
Barack Obama,Make a visit,Myanmar,2014-11-05
Sudan,Host a visit,Umar al Bashir,2014-10-19
John Kerry,Consult,Ashraf Ghani Ahmadzai,2014-08-08
Iran,Engage in diplomatic cooperation,China,2014-06-23
Barack Obama,Accuse of aggression,Hamas,2014-08-02
Akitaka Saiki,Engage in negotiation,Cho Tai-young,2014-10-02
John Kerry,Make a visit,Colombia,2014-12-12
Citizen (India),Complain officially,Employee (India),2014-09-16
Boko Haram,fight with small arms and light weapons,Citizen (Nigeria),2014-06-23
Thailand,Praise or endorse,Citizen (Thailand),2014-05-08
China,Make statement,Vietnam,2014-05-22
John Kerry,Consult,Fumio Kishida,2014-11-07
Militant (Malaysia),Threaten,Malaysia,2014-11-27
Member of Parliament (Iran),Threaten,Iran,2014-02-23
Barack Obama,Express intent to meet or negotiate,Philippines,2014-02-14
North Atlantic Treaty Organization,Make a visit,Afghanistan,2014-11-06
Citizen (India),Make an appeal or request,Head of Government (India),2014-03-12
Military (Thailand),Occupy territory,Thailand,2014-05-27
Yevgeny Maksimovich Primakov,Consult,Islamic Rebirth Party,2014-03-27
Mitch McConnell,Make statement,China,2014-11-12
Sergey Viktorovich Lavrov,Consult,John Kerry,2014-12-15
Police (Australia),Express intent to meet or negotiate,Citizen (Australia),2014-02-07
Police (Malaysia),"Arrest, detain, or charge with legal action",Citizen (Malaysia),2014-08-09
Barack Obama,Make an appeal or request,Abdullah Abdullah,2014-07-10
Protester (Indonesia),"Protest violently, riot",Police (Indonesia),2014-06-26
Police (Kenya),Confiscate property,Citizen (Kenya),2014-03-17
Militant (National Democratic Front of Bodoland),fight with small arms and light weapons,Citizen (India),2014-01-19
Evangelos Venizelos,Express intent to meet or negotiate,Iran,2014-02-25
Barack Obama,Praise or endorse,Xi Jinping,2014-11-12
Barack Obama,Engage in negotiation,Benjamin Netanyahu,2014-03-04
China,Express intent to cooperate,Japan,2014-09-24
Ministry (Zimbabwe),Demand,Business (Zimbabwe),2014-03-12
Barack Obama,Express intent to meet or negotiate,South Korea,2014-04-22
Ministry (Iran),Acknowledge or claim responsibility,Reserve Personnel (Iran),2014-03-25
Barack Obama,Consider policy option,Iraq,2014-06-18
China,Make statement,Xi Jinping,2014-11-10
John Kerry,Share intelligence or information,Sergey Viktorovich Lavrov,2014-10-16
Xi Jinping,Make a visit,Fiji,2014-11-21
Ashraf Ghani Ahmadzai,Express accord,Abdullah Abdullah,2014-07-27
Barack Obama,Demand,Benjamin Netanyahu,2014-03-06
Lawmaker (Japan),Engage in negotiation,Zhang Dejiang,2014-05-06
Barack Obama,Appeal for release of persons or property,North Korea,2014-02-07
China,Express intent to engage in diplomatic cooperation (such as policy support),Myanmar,2014-11-08
Sergey Viktorovich Lavrov,Express intent to meet or negotiate,John Kerry,2014-03-05
Benjamin Netanyahu,Consult,Barack Obama,2014-07-18
Government (Nigeria),"Arrest, detain, or charge with legal action",Citizen (Nigeria),2014-07-01
Citizen (Kenya),Accuse,Police (Kenya),2014-05-12
Aam Aadmi Party,Accuse,Citizen (India),2014-09-11
Sergey Viktorovich Lavrov,Consult,Daniel Ortega,2014-04-30
China,Accuse,Vietnam,2014-05-09
Military Personnel (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-01-09
Head of Government (Qatar),Engage in negotiation,Macky Sall,2014-03-03
Victor Ponta,Make a visit,Joseph Robinette Biden,2014-05-21
Police (Hong Kong),Use tactics of violent repression,Protester (Hong Kong),2014-12-16
Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-08-19
Police (Australia),Investigate,Citizen (Australia),2014-06-13
Xi Jinping,Make a visit,Victor Ponta,2014-09-02
Government (Nigeria),Make an appeal or request,Citizen (Nigeria),2014-12-31
Iraq,Praise or endorse,Barack Obama,2014-06-19
Japan,Consult,South Korea,2014-07-22
Citizen (Nigeria),Bring lawsuit against,Government (Nigeria),2014-02-14
Police (Hong Kong),Use tactics of violent repression,Protester (Hong Kong),2014-10-15
François Hollande,Engage in negotiation,Barack Obama,2014-08-09
Xi Jinping,Engage in negotiation,Barack Obama,2014-11-15
Prayuth Chan-ocha,Demand,Military (Thailand),2014-05-23
Iran,Provide military aid,Iraq,2014-07-09
China,Accuse,Malaysia,2014-03-10
Protester (Ukraine),"Protest violently, riot",Police (Ukraine),2014-01-20
Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry,2014-03-14
Iraq,Host a visit,Mohammad Javad Zarif,2014-08-24
Xi Jinping,Make an appeal or request,China,2014-12-21
Barack Obama,Meet at a 'third' location,North Atlantic Treaty Organization,2014-09-04
Majid Takht Ravanchi,Make statement,Iran,2014-01-08
Police (Ukraine),Physically assault,Protester (Ukraine),2014-01-21
Sergey Viktorovich Lavrov,Consult,John Kerry,2014-09-25
Sergey Viktorovich Lavrov,Engage in negotiation,John Kerry,2014-04-10
Barack Obama,Make statement,Iraq,2014-06-24
Fumio Kishida,Engage in negotiation,Ri Su Yong,2014-08-10
Angela Merkel,Consult,Barack Obama,2014-07-18
Abdel Fattah Al-Sisi,Consult,John Kerry,2014-06-22
Police (Namibia),Use conventional military force,Citizen (Namibia),2014-11-17
Nuri al-Maliki,Consult,John Kerry,2014-06-25
Cabinet / Council of Ministers / Advisors (United States),Engage in negotiation,Nuri al-Maliki,2014-06-23
Benjamin Netanyahu,Make statement,Iran,2014-03-04
Imran Khan,Make statement,Protester (Pakistan),2014-09-01
François Hollande,Express intent to engage in diplomatic cooperation (such as policy support),Barack Obama,2014-05-29
Barack Obama,Consult,Abdullah Abdullah,2014-07-09
Chuck Hagel,Praise or endorse,Japan,2014-04-05
China,Praise or endorse,Iran,2014-01-13
Police (South Africa),Use conventional military force,Men (South Africa),2014-01-14
Mohammad Javad Zarif,Make optimistic comment,Oman,2014-08-06
Military Personnel - Special (Nigeria),Use conventional military force,Citizen (Nigeria),2014-11-11
Prabowo Subianto,Make an appeal or request,Citizen (Indonesia),2014-10-17
Abdullah Abdullah,Appeal for intelligence,Election Commission (Afghanistan),2014-06-19
Mohammad Javad Zarif,Make a visit,Oman,2014-08-05
Police (Kenya),Investigate,Citizen (Kenya),2014-10-07
Citizen (Kenya),Accuse,Government (Kenya),2014-02-06
Joseph Robinette Biden,Consult,Saud bin Faisal bin Abdul-Aziz,2014-10-07
Ibrahim Boubacar Keïta,Express intent to meet or negotiate,Macky Sall,2014-04-13
Abdel Fattah Al-Sisi,Make statement,Army Personnel (Egypt),2014-06-09
Marziyeh Afkham,Criticize or denounce,European Parliament,2014-04-08
Hamas,"Abduct, hijack, or take hostage",Israeli Defense Forces,2014-08-01
Iraq,Make an appeal or request,Energy Department/Ministry (Iran),2014-11-12
South Korea,Engage in negotiation,China,2014-08-20
John Kerry,Express intent to meet or negotiate,Catherine Ashton,2014-11-04
Member of Parliament (India),Make optimistic comment,Citizen (India),2014-06-21
Japan,Express intent to engage in diplomatic cooperation (such as policy support),France,2014-07-29
Ministry (South Africa),Make statement,Government (South Africa),2014-11-17
Court Judge (Nigeria),Make an appeal or request,Ministry (Nigeria),2014-08-11
Human Rights Activist (Cambodia),"Defy norms, law",Cambodia,2014-08-12
Court Judge (India),Engage in symbolic act,Citizen (India),2014-12-21
Fumio Kishida,Make statement,Vietnam,2014-08-01
Military (Thailand),Investigate,Thailand,2014-06-06
South Korea,Make empathetic comment,Japan,2014-04-04
Cabinet / Council of Ministers / Advisors (United States),Make a visit,Ethiopia,2014-04-29
Citizen (Nigeria),Demand,Government (Nigeria),2014-01-20
Citizen (Thailand),Conduct strike or boycott,Thailand,2014-01-03
Anupong Paochinda,Demand,Governor (Thailand),2014-09-13
Boko Haram,Use conventional military force,Citizen (Nigeria),2014-08-18
Iraq,Express intent to engage in diplomatic cooperation (such as policy support),Iran,2014-12-08
Japan,Engage in negotiation,North Korea,2014-07-07
Barack Obama,Express intent to meet or negotiate,Japan,2014-04-19
Head of Government (India),Make a visit,China,2014-06-28
Djoko Suyanto,Express intent to cooperate,Teo Chee Hean,2014-03-22
Pavlo Klimkin,Meet at a 'third' location,Sergey Viktorovich Lavrov,2014-07-03
John Kerry,Make a visit,Iraq,2014-06-24
Police (Australia),Demand,Citizen (Australia),2014-05-22
Thailand,Sign formal agreement,China,2014-12-23
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-08-04
Citizen (Nigeria),Accuse,Boko Haram,2014-02-25
China,Express intent to engage in diplomatic cooperation (such as policy support),Japan,2014-12-28
Mohammad Javad Zarif,Make a visit,United Arab Emirates,2014-04-14
Pervez Musharraf,Deny responsibility,Special Court (Pakistan),2014-03-31
Mohammad Javad Zarif,Engage in negotiation,John Kerry,2014-11-23
Criminal (Bangladesh),Use unconventional violence,Citizen (Bangladesh),2014-06-11
Ryoo Kihl-jae,Demand,South Korea,2014-12-10
Special Court (Pakistan),"Arrest, detain, or charge with legal action",Pervez Musharraf,2014-03-14
Mohammad Javad Zarif,Consult,Iraq,2014-01-14
North Korea,Host a visit,Kim Jong-Un,2014-02-04
Qatar,Make statement,Iran,2014-09-10
Japan,Make an appeal or request,South Korea,2014-07-18
Cleric (Iraq),Make an appeal or request,Iraq,2014-06-20
Businessperson (France),Engage in diplomatic cooperation,Iran,2014-02-04
Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2014-06-09
Citizen (Nigeria),Criticize or denounce,Ministry (Nigeria),2014-10-10
Mohammad Javad Zarif,Consult,John Kerry,2014-11-23
François Hollande,Express intent to meet or negotiate,France,2014-02-14
Sergey Viktorovich Lavrov,"Reject plan, agreement to settle dispute",John Kerry,2014-03-15
Police (Australia),"Arrest, detain, or charge with legal action",Criminal (Australia),2014-09-24
Sergey Viktorovich Lavrov,Express intent to cooperate,Cabinet / Council of Ministers / Advisors (United States),2014-07-19
Japan,Engage in negotiation,North Korea,2014-05-31
North Korea,Demand,South Korea,2014-03-26
Ashraf Ghani Ahmadzai,Sign formal agreement,North Atlantic Treaty Organization,2014-11-30
South Korea,Express intent to cooperate,North Korea,2014-10-05
Separatist (India),fight with small arms and light weapons,Citizen (India),2014-12-23
Barack Obama,Express intent to cooperate,Philippines,2014-04-28
Member of Parliament (India),Accuse,Citizen (India),2014-05-23
Iraq,Host a visit,Mohammad Javad Zarif,2014-01-14
John Kerry,Express intent to cooperate,Mohammad Javad Zarif,2014-11-24
Government (Nigeria),Criticize or denounce,Ministry (Nigeria),2014-01-06
Pavlo Klimkin,Consult,Sergey Viktorovich Lavrov,2014-08-15
Michael D. Higgins,Express intent to settle dispute,Xi Jinping,2014-12-10
Court Judge (India),Investigate,Citizen (India),2014-11-28
Police (South Africa),"Arrest, detain, or charge with legal action",Men (South Africa),2014-06-11
China,Sign formal agreement,Kazakhstan,2014-12-14
Philippe Couillard,Consult,Kathleen Wynne,2014-11-21
Iran,Engage in diplomatic cooperation,Iraq,2014-05-18
Julie Bishop,Express intent to engage in diplomatic cooperation (such as policy support),Fumio Kishida,2014-08-09
Thief (India),Make an appeal or request,Citizen (India),2014-09-02
"Children (Palestinian Territory, Occupied)",Physically assault,Police (Israel),2014-11-21
Central Bank of Liberia,Engage in diplomatic cooperation,Treasury/Finance Ministry (Liberia),2014-05-30
Massoud Barzani,Engage in negotiation,Legislature (Iraq),2014-07-02
South Africa,Consult,China,2014-07-13
North Korea,Make statement,Japan,2014-08-21
Ashraf Ghani Ahmadzai,Express intent to cooperate,Abdullah Abdullah,2014-07-13
Benjamin Netanyahu,Engage in negotiation,Barack Obama,2014-03-06
China,Make an appeal or request,Malaysia,2014-03-12
Benjamin Netanyahu,Engage in negotiation,John Kerry,2014-01-02
Student (Hong Kong),Express intent to meet or negotiate,China,2014-11-14
Abdullah Abdullah,Make statement,Ashraf Ghani Ahmadzai,2014-09-08
Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-02-20
Iran,Express intent to engage in diplomatic cooperation (such as policy support),Iraq,2014-06-18
Japan,Express intent to meet or negotiate,North Korea,2014-09-30
François Hollande,Express intent to meet or negotiate,Armenia,2014-03-14
Tahirul Qadri,Demonstrate for leadership change,Head of Government (Pakistan),2014-08-27
John Kerry,Engage in negotiation,Benjamin Netanyahu,2014-03-31
Xi Jinping,Make statement,Media (China),2014-08-18
John Kerry,Discuss by telephone,Sergey Viktorovich Lavrov,2014-03-18
China,Express intent to cooperate,Japan,2014-12-31
Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-06-30
North Korea,Engage in diplomatic cooperation,South Korea,2014-08-14
South Korea,Express intent to cooperate,China,2014-09-11
Mohammad Javad Zarif,Meet at a 'third' location,Sergey Viktorovich Lavrov,2014-09-27
Police (Yemen),Use tactics of violent repression,Protester (Yemen),2014-12-22
Criminal (Mexico),Make statement,Student (Mexico),2014-11-07
Sergey Viktorovich Lavrov,Make statement,John Kerry,2014-11-08
Protester (Thailand),"Obstruct passage, block",Thailand,2014-01-13
Government (Nigeria),Make optimistic comment,Citizen (Nigeria),2014-08-04
China,Express intent to provide material aid,South Korea,2014-04-17
Milos Zeman,Make a visit,France,2014-08-07
Mohammad Javad Zarif,Engage in negotiation,Catherine Ashton,2014-11-09
Iran,Engage in diplomatic cooperation,China,2014-11-17
South Korea,Criticize or denounce,North Korea,2014-12-20
Police (Ukraine),Use conventional military force,Protester (Ukraine),2014-02-21
Sergey Viktorovich Lavrov,Engage in negotiation,John Kerry,2014-05-30
Jens Stoltenberg,Express intent to cooperate,Haider Al-Abadi,2014-12-03
Police (Australia),Investigate,Citizen (Australia),2014-02-06
China,Express intent to meet or negotiate,South Korea,2014-06-05
Citizen (India),Accuse,Military Personnel (India),2014-08-05
Bahrain,Express intent to release persons or property,Qatar,2014-11-17
John Kerry,Discuss by telephone,Benjamin Netanyahu,2014-03-20
Association of Southeast Asian Nations,Deny responsibility,China,2014-05-11
Adams Oshiomhole,Make an appeal or request,Citizen (Nigeria),2014-12-01
Court Judge (India),"Return, release person(s)",Citizen (India),2014-11-29
John Kerry,Demand,Sergey Viktorovich Lavrov,2014-05-31
Pope Francis,Make a visit,South Korea,2014-06-18
Uhuru Muigai Kenyatta,Make an appeal or request,Citizen (Kenya),2014-04-25
Police (Tanzania),Make statement,Criminal (Tanzania),2014-05-30
China,Provide military protection or peacekeeping,Vietnam,2014-05-17
John Kerry,Discuss by telephone,Sergey Viktorovich Lavrov,2014-10-14
Xi Jinping,Engage in negotiation,Fiji,2014-11-23
John Kerry,Praise or endorse,Sergey Viktorovich Lavrov,2014-04-17
Joseph Robinette Biden,Consult,Nuri al-Maliki,2014-01-08
Police (Kenya),"Arrest, detain, or charge with legal action",Citizen (Kenya),2014-11-20
Iran,Express intent to engage in diplomatic cooperation (such as policy support),Oman,2014-03-12
Afghanistan,Engage in diplomatic cooperation,Tajikistan,2014-01-14
North Korea,Make a visit,South Korea,2014-10-05
Barack Obama,Express intent to cooperate,Xi Jinping,2014-11-14
China,Refuse to yield,Philippines,2014-04-01
Barack Obama,Make statement,Iran,2014-03-24
Japan,Sign formal agreement,China,2014-11-15
Mario Monti,Consult,Evangelos Venizelos,2014-07-10
Enver Hoxhaj,Make a visit,Mamnoon Hussain,2014-03-10
Paul Kagame,Accuse,France,2014-04-07
Xi Jinping,Make a visit,South Korea,2014-06-30
Police (Greece),"Arrest, detain, or charge with legal action",Citizen (Greece),2014-08-17
Police (Philippines),Use conventional military force,Men (Philippines),2014-01-22
Stephen Davis,Make statement,Azubuike Ihejirika,2014-09-05
Yasuo Fukuda,Make a visit,China,2014-10-29
Ministry of Tourism (India),Make an appeal or request,Harish Rawat,2014-05-19
Xi Jinping,Make optimistic comment,Barack Obama,2014-11-11
Police (Australia),Investigate,Citizen (Australia),2014-10-30
John Kerry,Use unconventional violence,Head of Government (Egypt),2014-06-22
François Hollande,Make statement,France,2014-12-22
Education Ministry (France),Express intent to engage in diplomatic cooperation (such as policy support),Arnaud Montebourg,2014-08-26
Police (Hong Kong),Use conventional military force,Student (Hong Kong),2014-11-26
François Hollande,Consult,Serge Lazarevic,2014-12-10
Sergey Kuzhugetovich Shoygu,Consult,Chuck Hagel,2014-04-29
Angela Merkel,Discuss by telephone,Barack Obama,2014-03-03
Bahrain,Accuse,Al Wefaq National Islamic Society,2014-10-28
Raheel Sharif,Express intent to meet or negotiate,Abdullah Abdullah,2014-11-06
Media (Lebanon),Criticize or denounce,Military (Lebanon),2014-08-04
Military (Thailand),Use conventional military force,Thailand,2014-06-06
Head of Government (Nigeria),Make statement,Muslim (Nigeria),2014-05-26
Julie Bishop,Express intent to cooperate,Fumio Kishida,2014-06-11
Abdullah Abdullah,Make an appeal or request,Election Commission (Afghanistan),2014-06-19
Japan,Demand,North Korea,2014-09-29
James Ongwae,Make an appeal or request,Citizen (Kenya),2014-11-26
Police (Japan),Investigate,Men (Japan),2014-03-14
Mohammad Javad Zarif,Make an appeal or request,Catherine Ashton,2014-01-11
Imran Khan,Demand,Pakistan Tehreek-e-Insaf,2014-02-02
Barack Obama,Make a visit,China,2014-11-12
Protester (Egypt),Demonstrate or rally,Police (Egypt),2014-05-23
Iraq,Consult,John Kerry,2014-09-10
Benjamin Netanyahu,Make statement,Hamas,2014-07-15
Mohammad Javad Zarif,Make a visit,China,2014-10-22
Barack Obama,Engage in negotiation,France,2014-06-05
John Kerry,Make statement,Sergey Viktorovich Lavrov,2014-10-25
Abdel Fattah Al-Sisi,Discuss by telephone,Barack Obama,2014-06-10
Governor (Kenya),Accuse,William Ruto,2014-03-25
Mohammad Javad Zarif,Make statement,Iran,2014-01-21
Pope Francis,Host a visit,Cristina Fernández de Kirchner,2014-12-29
Police (Canada),"Arrest, detain, or charge with legal action",Women (Canada),2014-10-22
Barack Obama,Express intent to meet or negotiate,Citizen (International),2014-09-19
Barack Obama,Make a visit,Malaysia,2014-04-23
Ministry (Nigeria),Make statement,Government (Nigeria),2014-10-06
South Korea,Share intelligence or information,Japan,2014-12-26
Japan,Make an appeal or request,North Korea,2014-05-28
China,Express intent to meet or negotiate,Japan,2014-02-17
Iraq,Engage in diplomatic cooperation,Iran,2014-05-19
Government (Nigeria),"Arrest, detain, or charge with legal action",Citizen (Nigeria),2014-04-28
Cabinet / Council of Ministers / Advisors (United States),Make an appeal or request,Nuri al-Maliki,2014-06-23
Xi Jinping,Make a visit,South Korea,2014-07-03
City Mayor (Philippines),Make an appeal or request,Philippines,2014-01-10
Oversight Court (South Korea),Make statement,Military Personnel (South Korea),2014-11-11
Marziyeh Afkham,Make pessimistic comment,Iran,2014-08-26
Japan,Engage in negotiation,South Korea,2014-10-21
Sergey Viktorovich Lavrov,Consult,John Kerry,2014-07-20
Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-01-13
Company - Owner or Operator (Brazil),Make statement,Senate (Brazil),2014-05-07
Sergey Viktorovich Lavrov,Meet at a 'third' location,Cabinet / Council of Ministers / Advisors (United States),2014-03-30
China,Consult,Cabinet / Council of Ministers / Advisors (United States),2014-02-15
Japan,Praise or endorse,Iran,2014-06-13
Barack Obama,Consult,Ashraf Ghani Ahmadzai,2014-10-24
Ruling Party (Zambia),Make statement,Guy Scott,2014-11-21
Japan,Express intent to meet or negotiate,North Korea,2014-06-08
Qatar,Host a visit,Iran,2014-07-09
Sergey Viktorovich Lavrov,Discuss by telephone,Cabinet / Council of Ministers / Advisors (United States),2014-05-03
Iraq,Consult,John Kerry,2014-06-25
China,Consult,South Korea,2014-11-07
Japan,Engage in negotiation,North Korea,2014-07-16
Citizen (Kenya),Make an appeal or request,Government (Kenya),2014-10-06
Police (Australia),Engage in material cooperation,Citizen (Australia),2014-02-08
Police (Australia),Express intent to meet or negotiate,Citizen (Australia),2014-01-07
Sergey Viktorovich Lavrov,Threaten,John Kerry,2014-03-08
Court Judge (Kenya),Make statement,Police (Kenya),2014-03-27
Dmitry Anatolyevich Medvedev,Discuss by telephone,Arseniy Yatsenyuk,2014-11-27
Tzipi Livni,Make an appeal or request,Martin Indyk,2014-04-08
Iran,Cooperate economically,China,2014-02-19
Oman,Make a visit,Iran,2014-11-18
Boko Haram,Use conventional military force,Citizen (Nigeria),2014-06-05
Iran,Engage in diplomatic cooperation,South Africa,2014-06-18
China,Engage in diplomatic cooperation,Japan,2014-11-07
Victor Ponta,Praise or endorse,Representatives (Romania),2014-03-03
France,Make statement,Iran,2014-06-10
Japan,Express intent to provide economic aid,Ethiopia,2014-01-13
Court Judge (Nigeria),Make statement,Bala Abdulkadir Mohammed,2014-05-19
Protester (Thailand),Appeal for diplomatic cooperation (such as policy support),Citizen (Thailand),2014-01-14
John Kerry,Consult,Mohammad Javad Zarif,2014-07-14
Jens Stoltenberg,Make statement,Afghanistan,2014-11-08
Eshaq Jahangiri,Make statement,Iran,2014-06-16
Citizen (Australia),Threaten,Police (Australia),2014-02-14
Citizen (Thailand),Conduct strike or boycott,Thailand,2014-01-02
Emmanuel Eweta Uduaghan,Make an appeal or request,Citizen (Nigeria),2014-10-22
China,Express intent to provide material aid,Afghanistan,2014-02-23
Yasuo Fukuda,Consult,Xi Jinping,2014-10-24
Xi Jinping,Express intent to provide economic aid,China,2014-07-23
Iran,Consult,Oman,2014-11-29
South Korea,Engage in negotiation,Japan,2014-09-01
Barack Obama,Make a visit,Iran,2014-01-29
Military (Thailand),Mobilize or increase armed forces,Thailand,2014-05-20
Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry,2014-03-11
Tom Motsoahae Thabane,Make a visit,South Africa,2014-08-31
City Mayor (Philippines),Accuse,Police (Philippines),2014-11-26
Protester (Thailand),Demonstrate or rally,Military (Thailand),2014-05-23
Sergey Viktorovich Lavrov,Engage in negotiation,Daniel Ortega,2014-04-30
Cambodia,Make an appeal or request,Thailand,2014-09-01
Protester (Ukraine),"Protest violently, riot",Police (Ukraine),2014-02-20
Citizen (Australia),Express intent to meet or negotiate,Police (Australia),2014-09-25
Benjamin Netanyahu,Express intent to meet or negotiate,Barack Obama,2014-09-28
Men (Cambodia),Threaten,Hun Sen,2014-04-11
South Korea,Make optimistic comment,Japan,2014-07-16
Police (Australia),Accuse,Citizen (Australia),2014-09-08
Japan,Consult,North Korea,2014-03-19
John Kerry,Meet at a 'third' location,Sergey Viktorovich Lavrov,2014-12-04
Iran,Consult,Iraq,2014-10-22
South Korea,Engage in negotiation,North Korea,2014-02-12
Israeli Defense Forces,Use conventional military force,Ziyad Abu-Ayn,2014-12-11
Barack Obama,Express intent to meet or negotiate,Myanmar,2014-11-11
Rights Activist (China),Criticize or denounce,East Turkistan Islamic Movement,2014-01-25
Saud bin Faisal bin Abdul-Aziz,Demand de-escalation of military engagement,Iran,2014-10-15
John Kerry,Engage in negotiation,Sergey Viktorovich Lavrov,2014-06-22
Police (Philippines),"Arrest, detain, or charge with legal action",Men (Philippines),2014-01-22
Sergey Viktorovich Lavrov,Meet at a 'third' location,John Kerry,2014-10-14
Protester (Hong Kong),Demonstrate or rally,Police (Hong Kong),2014-11-30
Fumio Kishida,Express intent to cooperate,John Kerry,2014-06-19
Treasury/Finance Ministry (Liberia),Engage in diplomatic cooperation,Central Bank of Liberia,2014-05-30
North Korea,Make an appeal or request,Envoy (Japan),2014-09-30
Bahrain,Accede to demands for change in policy,Qatar,2014-03-08
Morocco,Consult,France,2014-02-27
Tajikistan,Express intent to cooperate,China,2014-09-13
Police (Australia),"Arrest, detain, or charge with legal action",Citizen (Australia),2014-01-02
John Kerry,Consult,Mohammad Javad Zarif,2014-11-22
Ministry (Nigeria),Make statement,Government (Nigeria),2014-10-09
Fumio Kishida,Express accord,Foreign Affairs (South Korea),2014-06-10
China,Grant diplomatic recognition,Bhutan,2014-06-15
Uhuru Muigai Kenyatta,Engage in symbolic act,Citizen (Kenya),2014-06-10
Protester (Hong Kong),Demonstrate or rally,Police (Hong Kong),2014-12-26
