head,relation,tail,time
South Africa,Sign formal agreement,China,2014-07-15
Afghanistan,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014-07-15
China,Meet at a 'third' location,South Africa,2014-07-15
Government (Nigeria),Make pessimistic comment,Citizen (Nigeria),2014-07-15
Cabinet / Council of Ministers / Advisors (United States),Make statement,Iran,2014-07-15
John Kerry,Make a visit,Afghanistan,2014-07-15
South Africa,Consult,China,2014-07-15
Mohammad Javad Zarif,Meet at a 'third' location,John Kerry,2014-07-15
France,Host a visit,National Security Advisor (Georgia),2014-07-15
Royal Administration (Germany),Make a visit,Morocco,2014-07-15
Afghanistan,Host a visit,John Kerry,2014-07-15
Andrej Kiska,Make a visit,Poland,2014-07-15
Governor (Angola),Consult,Military Personnel (Angola),2014-07-15
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-07-15
Xi Jinping,Make statement,China,2014-07-15
Barack Obama,Make a visit,Pham Binh Minh,2014-07-15
Vietnam,Make a visit,Japan,2014-07-15
Japan,Host a visit,Xi Jinping,2014-07-15
Qatar,Host a visit,Chuck Hagel,2014-07-15
Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2014-07-15
China,Consult,Xi Jinping,2014-07-15
China,Consult,South Africa,2014-07-15
Poland,Host a visit,Andrej Kiska,2014-07-15
Chuck Hagel,Make a visit,Qatar,2014-07-15
Opposition Supporter (Cambodia),"Protest violently, riot",Police (Cambodia),2014-07-15
China,Express intent to cooperate,South Africa,2014-07-15
John Kerry,Engage in negotiation,Mohammad Javad Zarif,2014-07-15
Morocco,Host a visit,Royal Administration (Germany),2014-07-15
Japan,Provide economic aid,Vietnam,2014-07-15
John Kerry,Express intent to engage in diplomatic cooperation (such as policy support),Mohammad Javad Zarif,2014-07-15
Hamas,Make statement,Benjamin Netanyahu,2014-07-15
Abdullah Abdullah,Make a visit,Ashraf Ghani Ahmadzai,2014-07-16
China,Engage in negotiation,South Africa,2014-07-16
Mohammad Javad Zarif,Express intent to cooperate,John Kerry,2014-07-16
China,Express intent to cooperate,South Africa,2014-07-16
Abdelilah Benkirane,Host a visit,Royal Administration (Spain),2014-07-16
John Kerry,Express intent to cooperate,Mohammad Javad Zarif,2014-07-16
Guatemala,Host a visit,Steve Pearce,2014-07-16
Government (Nigeria),Expel or deport individuals,Citizen (Nigeria),2014-07-16
Abdullah Abdullah,Accuse,Ashraf Ghani Ahmadzai,2014-07-16
Japan,Provide economic aid,Vietnam,2014-07-16
South Korea,Praise or endorse,Japan,2014-07-16
Japan,Host a visit,Vietnam,2014-07-16
Barack Obama,Discuss by telephone,Angela Merkel,2014-07-16
Election Commission (Afghanistan),Demand,Party Member (Afghanistan),2014-07-16
Afghanistan,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014-07-16
Federica Mogherini,Consult,Shimon Peres,2014-07-16
China,Criticize or denounce,Vietnam,2014-07-16
Angola,Host a visit,Rosa Pacavira,2014-07-16
North Korea,Express intent to meet or negotiate,South Korea,2014-07-16
Federica Mogherini,Make a visit,Shimon Peres,2014-07-16
Angela Merkel,Discuss by telephone,Barack Obama,2014-07-16
Cabinet / Council of Ministers / Advisors (United States),Make a visit,Afghanistan,2014-07-16
Vietnam,Demand,China,2014-07-16
Rosa Pacavira,Make a visit,Angola,2014-07-16
South Korea,Demonstrate military or police power,North Korea,2014-07-16
North Korea,Engage in negotiation,Japan,2014-07-16
Thailand,"Arrest, detain, or charge with legal action",Royal Administration (Nepal),2014-07-16
Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2014-07-16
Japan,Make a visit,North Korea,2014-07-16
Shimon Peres,Praise or endorse,Federica Mogherini,2014-07-16
Royal Administration (Spain),Make a visit,Abdelilah Benkirane,2014-07-16
Royal Administration (Nepal),Make a visit,Thailand,2014-07-16
Royal Administration (Spain),Make a visit,Rachid Talbi Alami,2014-07-16
Vietnam,Make a visit,Japan,2014-07-16
Japan,Engage in negotiation,North Korea,2014-07-16
South Korea,Make optimistic comment,Japan,2014-07-16
North Korea,Investigate,Japan,2014-07-16
Japan,Engage in diplomatic cooperation,South Korea,2014-07-16
Angela Merkel,Consult,Barack Obama,2014-07-16
Japan,Express intent to cooperate,South Korea,2014-07-16
Steve Pearce,Make a visit,Guatemala,2014-07-16
Citizen (Tanzania),Use unconventional violence,Farm Worker (Tanzania),2014-07-16
South Africa,Consult,China,2014-07-16
Abdelilah Benkirane,Praise or endorse,Royal Administration (Spain),2014-07-16
Ashraf Ghani Ahmadzai,Host a visit,Abdullah Abdullah,2014-07-16
Mohammad Javad Zarif,Engage in negotiation,John Kerry,2014-07-16
Abdullah Abdullah,Consult,Ashraf Ghani Ahmadzai,2014-07-16
Barack Obama,Consult,Angela Merkel,2014-07-16
South Africa,Engage in negotiation,China,2014-07-16
Farm Worker (Tanzania),Use conventional military force,Citizen (Tanzania),2014-07-16
Ashraf Ghani Ahmadzai,Express intent to meet or negotiate,Abdullah Abdullah,2014-07-16
Japan,Make statement,North Korea,2014-07-16
North Korea,Make an appeal or request,South Korea,2014-07-16
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-07-16
John Kerry,Reject,Mohammad Javad Zarif,2014-07-16
South Korea,Express intent to meet or negotiate,North Korea,2014-07-16
Japan,"Ease economic sanctions, boycott, embargo",North Korea,2014-07-16
Abdullah Abdullah,Express intent to cooperate,Ashraf Ghani Ahmadzai,2014-07-16
Japan,"Express intent to ease economic sanctions, boycott, or embargo",North Korea,2014-07-16
Ashraf Ghani Ahmadzai,Express intent to cooperate,Abdullah Abdullah,2014-07-16
Japan,Consult,South Korea,2014-07-16
Party Member (Afghanistan),Accuse,Election Commission (Afghanistan),2014-07-16
Shimon Peres,Consult,Federica Mogherini,2014-07-16
John Kerry,Engage in negotiation,Mohammad Javad Zarif,2014-07-16
Government (Nigeria),Make pessimistic comment,Citizen (Nigeria),2014-07-16
South Korea,Express intent to cooperate,Japan,2014-07-16
Rachid Talbi Alami,Praise or endorse,Royal Administration (Spain),2014-07-16
Party Member (Afghanistan),Reduce relations,Election Commission (Afghanistan),2014-07-16
Rachid Talbi Alami,Host a visit,Royal Administration (Spain),2014-07-16
South Korea,Consult,Japan,2014-07-16
Barack Obama,Demand,Iran,2014-07-17
Angola,Sign formal agreement,South Korea,2014-07-17
South Korea,Make statement,North Korea,2014-07-17
South Korea,Criticize or denounce,North Korea,2014-07-17
South Korea,Make a visit,Angola,2014-07-17
John Kerry,Make a visit,Afghanistan,2014-07-17
China,Host a visit,Jonathan Greenert,2014-07-17
Boko Haram,Use conventional military force,Citizen (Nigeria),2014-07-17
Employee (Bangladesh),Make a visit,Iraq,2014-07-17
Iran,Sign formal agreement,Barack Obama,2014-07-17
Jonathan Greenert,Make a visit,China,2014-07-17
Niger,Host a visit,François Hollande,2014-07-17
Barack Obama,Praise or endorse,Hamas,2014-07-17
Refugee (Afghanistan),Make a visit,Iran,2014-07-17
South Korea,"Reject plan, agreement to settle dispute",North Korea,2014-07-17
Hamas,Make statement,Barack Obama,2014-07-17
South Africa,Express intent to cooperate,China,2014-07-17
Xi Jinping,Make a visit,Mexico,2014-07-17
Iran,Host a visit,Refugee (Afghanistan),2014-07-17
François Hollande,Express intent to meet or negotiate,Niger,2014-07-17
Representatives (Nigeria),Make statement,Indigenous People (Nigeria),2014-07-17
South Africa,Sign formal agreement,China,2014-07-17
Indigenous People (Nigeria),Consult,Representatives (Nigeria),2014-07-17
China,Sign formal agreement,South Africa,2014-07-17
North Korea,Make a visit,South Korea,2014-07-17
China,Express intent to cooperate,South Africa,2014-07-17
Iraq,Host a visit,Employee (Bangladesh),2014-07-17
Citizen (Nigeria),Criticize or denounce,Boko Haram,2014-07-17
Citizen (Nigeria),Appeal for de-escalation of military engagement,Boko Haram,2014-07-17
South Korea,Host a visit,North Korea,2014-07-17
Afghanistan,Host a visit,John Kerry,2014-07-17
Xi Jinping,Make statement,China,2014-07-17
Mexico,Host a visit,Xi Jinping,2014-07-17
François Hollande,Make a visit,Niger,2014-07-17
China,Consult,Xi Jinping,2014-07-17
China,Sign formal agreement,Xi Jinping,2014-07-17
Cristina Fernández de Kirchner,Consult,Xi Jinping,2014-07-18
Citizen (Kenya),Accuse,Police (Kenya),2014-07-18
Citizen (Kenya),Use unconventional violence,Police (Kenya),2014-07-18
Cristina Fernández de Kirchner,Express intent to engage in diplomatic cooperation (such as policy support),Xi Jinping,2014-07-18
Cristina Fernández de Kirchner,Sign formal agreement,Xi Jinping,2014-07-18
Government (Nigeria),Express intent to cooperate,Citizen (Nigeria),2014-07-18
Angela Merkel,Make statement,Barack Obama,2014-07-18
Xi Jinping,Express intent to meet or negotiate,Cristina Fernández de Kirchner,2014-07-18
Police (Kenya),"Arrest, detain, or charge with legal action",Citizen (Kenya),2014-07-18
Abdullah Abdullah,Host a visit,Ashraf Ghani Ahmadzai,2014-07-18
Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2014-07-18
Barack Obama,Meet at a 'third' location,Benjamin Netanyahu,2014-07-18
UN Security Council,Make a visit,Sudan,2014-07-18
North Korea,Investigate,Japan,2014-07-18
Japan,"Impose embargo, boycott, or sanctions",North Korea,2014-07-18
Shimon Peres,Make pessimistic comment,Pope Francis,2014-07-18
Angela Merkel,Discuss by telephone,Barack Obama,2014-07-18
South Korea,Criticize or denounce,Japan,2014-07-18
Benjamin Netanyahu,Meet at a 'third' location,Barack Obama,2014-07-18
South Korea,Reject judicial cooperation,Japan,2014-07-18
Barack Obama,Consult,Angela Merkel,2014-07-18
Government (Nigeria),"Return, release property",Citizen (Nigeria),2014-07-18
Sudan,Host a visit,UN Security Council,2014-07-18
South Sudan,Appeal for intelligence,UN Security Council,2014-07-18
Xi Jinping,Consult,Cristina Fernández de Kirchner,2014-07-18
Barack Obama,Make statement,Angela Merkel,2014-07-18
Citizen (Kenya),"Protest violently, riot",Police (Kenya),2014-07-18
Citizen (Nigeria),Accuse,Government (Nigeria),2014-07-18
France,Make a visit,Niger,2014-07-18
Japan,Reject,South Korea,2014-07-18
Cristina Fernández de Kirchner,Express intent to cooperate,Xi Jinping,2014-07-18
William Ruto,Host a visit,Uhuru Muigai Kenyatta,2014-07-18
Citizen (Nigeria),Accuse,Head of Government (Nigeria),2014-07-18
Uhuru Muigai Kenyatta,Make a visit,William Ruto,2014-07-18
Niger,Host a visit,France,2014-07-18
Xi Jinping,Express intent to engage in diplomatic cooperation (such as policy support),Cristina Fernández de Kirchner,2014-07-18
Japan,Express intent to meet or negotiate,South Korea,2014-07-18
Citizen (Thailand),Express intent to meet or negotiate,Thailand,2014-07-18
Benjamin Netanyahu,Consult,Barack Obama,2014-07-18
Angela Merkel,Consult,Barack Obama,2014-07-18
Japan,Make an appeal or request,South Korea,2014-07-18
Business (Canada),Host a visit,Kathleen Wynne,2014-07-18
Barack Obama,Discuss by telephone,Benjamin Netanyahu,2014-07-18
Ashraf Ghani Ahmadzai,Make a visit,Abdullah Abdullah,2014-07-18
Vassilis Kikilias,Make statement,Police (Greece),2014-07-18
Refugee (Afghanistan),Make a visit,Iran,2014-07-18
Bureaucrat (India),Criticize or denounce,Citizen (India),2014-07-18
Xi Jinping,Sign formal agreement,Cristina Fernández de Kirchner,2014-07-18
Ashraf Ghani Ahmadzai,Express intent to cooperate,Abdullah Abdullah,2014-07-18
Police (Greece),Consult,Vassilis Kikilias,2014-07-18
Jacob Oulanyah,Make an appeal or request,Member of Parliament (Germany),2014-07-18
Iran,Host a visit,Refugee (Afghanistan),2014-07-18
Citizen (Nigeria),Demonstrate or rally,Government (Nigeria),2014-07-18
Barack Obama,Discuss by telephone,Angela Merkel,2014-07-18
Bureaucrat (India),"Defy norms, law",Citizen (India),2014-07-18
Pope Francis,Demand de-escalation of military engagement,Shimon Peres,2014-07-18
Thailand,"Arrest, detain, or charge with legal action",Citizen (Thailand),2014-07-18
Citizen (India),Appeal for change in leadership,Bureaucrat (India),2014-07-18
Kathleen Wynne,Make a visit,Business (Canada),2014-07-18
Head of Government (Nigeria),Express intent to meet or negotiate,Citizen (Nigeria),2014-07-18
Barack Obama,Engage in negotiation,Angela Merkel,2014-07-18
William Ruto,Praise or endorse,Uhuru Muigai Kenyatta,2014-07-18
Member of Parliament (Germany),Make statement,Jacob Oulanyah,2014-07-18
UN Security Council,Express intent to engage in diplomatic cooperation (such as policy support),South Sudan,2014-07-18
Julie Bishop,Express intent to meet or negotiate,Foreign Affairs (Russia),2014-07-18
Foreign Affairs (Russia),Consult,Julie Bishop,2014-07-18
South Korea,Host a visit,Xi Jinping,2014-07-19
China,Engage in negotiation,France,2014-07-19
François Hollande,Make a visit,Niger,2014-07-19
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-07-19
Barack Obama,Make statement,Angela Merkel,2014-07-19
Cristina Fernández de Kirchner,Express intent to engage in diplomatic cooperation (such as policy support),Xi Jinping,2014-07-19
Israeli Defense Forces,Use conventional military force,"Combatant (Palestinian Territory, Occupied)",2014-07-19
Xi Jinping,Express intent to engage in diplomatic cooperation (such as policy support),Cristina Fernández de Kirchner,2014-07-19
Citizen (United Arab Emirates),Make optimistic comment,United Arab Emirates,2014-07-19
"Combatant (Palestinian Territory, Occupied)",Use unconventional violence,Israeli Defense Forces,2014-07-19
South Korea,Express intent to settle dispute,China,2014-07-19
China,Express intent to meet or negotiate,South Korea,2014-07-19
Malaysia,Engage in symbolic act,Citizen (Malaysia),2014-07-19
France,Sign formal agreement,China,2014-07-19
Foreign Affairs (Russia),Express intent to cooperate,Simon Gass,2014-07-19
Xi Jinping,Make a visit,Congress (Argentina),2014-07-19
Israeli Defense Forces,Make statement,"Combatant (Palestinian Territory, Occupied)",2014-07-19
Xi Jinping,Make a visit,South Korea,2014-07-19
Guatemala,Express intent to meet or negotiate,Barack Obama,2014-07-19
Cabinet / Council of Ministers / Advisors (United States),Engage in negotiation,Sergey Viktorovich Lavrov,2014-07-19
John Kerry,Express intent to cooperate,Sergey Viktorovich Lavrov,2014-07-19
Sergey Viktorovich Lavrov,Express intent to cooperate,Cabinet / Council of Ministers / Advisors (United States),2014-07-19
Iran,Host a visit,Mohammad Javad Zarif,2014-07-19
Foreign Affairs (Russia),Make empathetic comment,Simon Gass,2014-07-19
Sergey Viktorovich Lavrov,Engage in negotiation,Cabinet / Council of Ministers / Advisors (United States),2014-07-19
United Arab Emirates,"Arrest, detain, or charge with legal action",Citizen (United Arab Emirates),2014-07-19
China,Sign formal agreement,France,2014-07-19
Congress (Argentina),Host a visit,Xi Jinping,2014-07-19
Simon Gass,Express intent to cooperate,Foreign Affairs (Russia),2014-07-19
Iran,Express intent to meet or negotiate,Nuri al-Maliki,2014-07-19
Foreign Affairs (Russia),Consult,Simon Gass,2014-07-19
Xi Jinping,Sign formal agreement,Cristina Fernández de Kirchner,2014-07-19
Niger,Host a visit,François Hollande,2014-07-19
Mohammad Javad Zarif,Make statement,Iran,2014-07-19
Xi Jinping,Consult,Cristina Fernández de Kirchner,2014-07-19
Cristina Fernández de Kirchner,Sign formal agreement,Xi Jinping,2014-07-19
Simon Gass,Consult,Foreign Affairs (Russia),2014-07-19
South Korea,Express intent to meet or negotiate,China,2014-07-19
Sergey Viktorovich Lavrov,Discuss by telephone,Cabinet / Council of Ministers / Advisors (United States),2014-07-19
Mohammad Javad Zarif,Make a visit,Iran,2014-07-19
Sergey Viktorovich Lavrov,Express intent to cooperate,John Kerry,2014-07-19
France,Engage in negotiation,China,2014-07-19
Cabinet / Council of Ministers / Advisors (United States),Discuss by telephone,Sergey Viktorovich Lavrov,2014-07-19
Nuri al-Maliki,Praise or endorse,Iran,2014-07-19
Sergey Viktorovich Lavrov,Consult,John Kerry,2014-07-19
China,Express intent to settle dispute,South Korea,2014-07-19
Citizen (Malaysia),Express intent to meet or negotiate,Malaysia,2014-07-19
Barack Obama,Consult,Guatemala,2014-07-19
Angela Merkel,Engage in negotiation,Barack Obama,2014-07-19
François Hollande,Consult,Angela Merkel,2014-07-20
Cabinet / Council of Ministers / Advisors (United States),Make a visit,Middle East,2014-07-20
Ashraf Ghani Ahmadzai,Engage in negotiation,Abdullah Abdullah,2014-07-20
Benjamin Netanyahu,Consult,Barack Obama,2014-07-20
John Kerry,Consult,Sergey Viktorovich Lavrov,2014-07-20
Benjamin Netanyahu,Discuss by telephone,Barack Obama,2014-07-20
Abdullah Abdullah,Consult,Ashraf Ghani Ahmadzai,2014-07-20
Sergey Viktorovich Lavrov,Consult,John Kerry,2014-07-20
Barack Obama,Consult,Benjamin Netanyahu,2014-07-20
François Hollande,Express intent to cooperate,Angela Merkel,2014-07-20
Angela Merkel,Consult,François Hollande,2014-07-20
John Kerry,Discuss by telephone,Sergey Viktorovich Lavrov,2014-07-20
Sergey Viktorovich Lavrov,Express intent to cooperate,John Kerry,2014-07-20
Middle East,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014-07-20
Angela Merkel,Express intent to cooperate,François Hollande,2014-07-20
Angela Merkel,Engage in negotiation,François Hollande,2014-07-20
John Kerry,Express intent to cooperate,Sergey Viktorovich Lavrov,2014-07-20
Barack Obama,Make pessimistic comment,Benjamin Netanyahu,2014-07-20
Government (Syria),Use conventional military force,Militant (Syria),2014-07-21
Afghanistan,Host a visit,Sun Yuxi,2014-07-21
Police (Kenya),Appeal for intelligence,Citizen (Kenya),2014-07-21
Middle East,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014-07-21
Government (Nigeria),Impose restrictions on political freedoms,Citizen (Nigeria),2014-07-21
Prayuth Chan-ocha,Consult,Foreign Affairs (India),2014-07-21
Police (Ethiopia),Use tactics of violent repression,Protester (Ethiopia),2014-07-21
Police (Ethiopia),Physically assault,Protester (Ethiopia),2014-07-21
Xi Jinping,Make statement,China,2014-07-21
China,Host a visit,John Kerry,2014-07-21
Arab Israelis,"Protest violently, riot",Police (Israel),2014-07-21
Malaysia,Host a visit,Philippines,2014-07-21
Government (Nigeria),Express intent to provide economic aid,Citizen (Nigeria),2014-07-21
South Africa,Host a visit,Michael Sata,2014-07-21
Sun Yuxi,Express intent to meet or negotiate,Afghanistan,2014-07-21
Afghanistan,Host a visit,Envoy (United States),2014-07-21
Police (Kenya),Appeal for diplomatic cooperation (such as policy support),Citizen (Kenya),2014-07-21
Barack Obama,Make pessimistic comment,Benjamin Netanyahu,2014-07-21
Police (Kenya),"Arrest, detain, or charge with legal action",Citizen (Kenya),2014-07-21
Citizen (Nigeria),Bring lawsuit against,Government (Nigeria),2014-07-21
Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2014-07-21
China,Praise or endorse,Other Authorities / Officials (China),2014-07-21
Philippines,Make a visit,Malaysia,2014-07-21
Citizen (Kenya),"Protest violently, riot",Police (Kenya),2014-07-21
Mevlut Cavusoglu,Make statement,Head of Government (Ukraine),2014-07-21
Protester (Ethiopia),"Protest violently, riot",Police (Ethiopia),2014-07-21
Benjamin Netanyahu,Discuss by telephone,Barack Obama,2014-07-21
John Kerry,Make a visit,China,2014-07-21
Head of Government (Ukraine),Consult,Mevlut Cavusoglu,2014-07-21
Foreign Affairs (India),Make a visit,Prayuth Chan-ocha,2014-07-21
Foreign Affairs (India),Consult,Prayuth Chan-ocha,2014-07-21
Police (Israel),Use conventional military force,Arab Israelis,2014-07-21
Envoy (United States),Make a visit,Afghanistan,2014-07-21
Sun Yuxi,Make a visit,Afghanistan,2014-07-21
China,Meet at a 'third' location,Xi Jinping,2014-07-21
Prayuth Chan-ocha,Host a visit,Foreign Affairs (India),2014-07-21
Cabinet / Council of Ministers / Advisors (United States),Make a visit,Middle East,2014-07-21
Protester (Ethiopia),Demonstrate or rally,Police (Ethiopia),2014-07-21
Other Authorities / Officials (China),Investigate,China,2014-07-21
Michael Sata,Make a visit,South Africa,2014-07-21
Militant (Syria),Use unconventional violence,Government (Syria),2014-07-21
Cambodia,Host a visit,Veera Somkwamkid,2014-07-22
Benjamin Netanyahu,Make an appeal or request,John Kerry,2014-07-22
John Kerry,Discuss by telephone,Benjamin Netanyahu,2014-07-22
Ministry (Angola),Praise or endorse,Government (Italy),2014-07-22
Abdel Fattah Al-Sisi,Consult,John Kerry,2014-07-22
Benjamin Netanyahu,Consult,John Kerry,2014-07-22
Japan,Engage in negotiation,South Korea,2014-07-22
Qatar,Host a visit,Hamas,2014-07-22
Angola,Host a visit,Ministry (Vietnam),2014-07-22
Emperor Akihito,Make a visit,Japan,2014-07-22
Government (Italy),Make a visit,Ministry (Angola),2014-07-22
Benjamin Netanyahu,Discuss by telephone,John Kerry,2014-07-22
Ministry (Vietnam),Make a visit,Angola,2014-07-22
Japan,Host a visit,Emperor Akihito,2014-07-22
Raúl Castro,Consult,Xi Jinping,2014-07-22
Citizen (India),Criticize or denounce,Court Judge (India),2014-07-22
Benjamin Netanyahu,Express intent to accept mediation,John Kerry,2014-07-22
Refugee (Afghanistan),Make a visit,Iran,2014-07-22
China,Host a visit,Jonathan Greenert,2014-07-22
John Kerry,Engage in negotiation,Abdel Fattah Al-Sisi,2014-07-22
Iran,Host a visit,Refugee (Afghanistan),2014-07-22
Military (Turkey),Use conventional military force,Armed Rebel (Turkish Kurds),2014-07-22
Japan,Consult,South Korea,2014-07-22
Qatar,Provide economic aid,Hamas,2014-07-22
Jonathan Greenert,Make a visit,China,2014-07-22
South Korea,Engage in negotiation,Japan,2014-07-22
Veera Somkwamkid,Make a visit,Cambodia,2014-07-22
South Korea,Consult,Japan,2014-07-22
Xi Jinping,Express intent to meet or negotiate,Raúl Castro,2014-07-22
Ministry (Angola),Host a visit,Government (Italy),2014-07-22
Benjamin Netanyahu,Make a visit,Israeli Defense Forces,2014-07-22
Court Judge (India),Reject,Citizen (India),2014-07-22
Israeli Defense Forces,Host a visit,Benjamin Netanyahu,2014-07-22
Hamas,Make a visit,Qatar,2014-07-22
John Kerry,Consult,Benjamin Netanyahu,2014-07-22
Niger,Host a visit,François Hollande,2014-07-22
François Hollande,Make a visit,Niger,2014-07-22
Court Judge (India),Accuse,Citizen (India),2014-07-22
Court Judge (India),"Arrest, detain, or charge with legal action",Citizen (India),2014-07-22
Armed Rebel (Turkish Kurds),Use unconventional violence,Military (Turkey),2014-07-22
Xi Jinping,Make a visit,China,2014-07-23
Israeli Defense Forces,Use conventional military force,Hamas,2014-07-23
Ministry (Tanzania),Make a visit,Civil Aviation Authority,2014-07-23
Xi Jinping,Make statement,China,2014-07-23
Benjamin Netanyahu,Consult,Cabinet / Council of Ministers / Advisors (United States),2014-07-23
Police (South Africa),Use conventional military force,Men (South Africa),2014-07-23
Citizen (Sudan),Consult,Media (Africa),2014-07-23
Boko Haram,Use conventional military force,Muslim (Nigeria),2014-07-23
Government (South Africa),Reject,Police (South Africa),2014-07-23
Media (Africa),Make an appeal or request,Citizen (Sudan),2014-07-23
Benjamin Netanyahu,Make an appeal or request,Cabinet / Council of Ministers / Advisors (United States),2014-07-23
John Kerry,Engage in negotiation,Benjamin Netanyahu,2014-07-23
Hamas,fight with small arms and light weapons,Israeli Defense Forces,2014-07-23
Afghanistan,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014-07-23
Benjamin Netanyahu,Discuss by telephone,John Kerry,2014-07-23
Emperor Akihito,Make a visit,Japan,2014-07-23
John Kerry,Make an appeal or request,Head of Government (Egypt),2014-07-23
Civil Aviation Authority,Host a visit,Ministry (Tanzania),2014-07-23
Xi Jinping,Make a visit,Mexico,2014-07-23
Men (South Africa),fight with small arms and light weapons,Police (South Africa),2014-07-23
Police (South Africa),Investigate,Men (South Africa),2014-07-23
Head of Government (Egypt),Consult,John Kerry,2014-07-23
Muslim (Nigeria),Criticize or denounce,Boko Haram,2014-07-23
Middle East,Host a visit,John Kerry,2014-07-23
China,Host a visit,Xi Jinping,2014-07-23
Citizen (India),Criticize or denounce,Member of Parliament (India),2014-07-23
China,Host a visit,Japan,2014-07-23
Xi Jinping,Express intent to provide economic aid,China,2014-07-23
Japan,Make a visit,China,2014-07-23
Police (South Africa),Accuse,Government (South Africa),2014-07-23
Mexico,Host a visit,Xi Jinping,2014-07-23
Cabinet / Council of Ministers / Advisors (United States),Make a visit,Afghanistan,2014-07-23
Head of Government (Qatar),Make a visit,Royal Administration (Saudi Arabia),2014-07-23
Benjamin Netanyahu,Make an appeal or request,John Kerry,2014-07-23
Military Personnel - Special (Afghanistan),Use conventional military force,Insurgent (Afghanistan),2014-07-23
Benjamin Netanyahu,Consult,John Kerry,2014-07-23
John Kerry,Consult,Benjamin Netanyahu,2014-07-23
Royal Administration (Saudi Arabia),Host a visit,Head of Government (Qatar),2014-07-23
Hamas,fight with artillery and tanks,Israeli Defense Forces,2014-07-23
John Kerry,Discuss by telephone,Benjamin Netanyahu,2014-07-23
Japan,Host a visit,Emperor Akihito,2014-07-23
John Kerry,Make a visit,Middle East,2014-07-23
Paraguay,Host a visit,Horacio Cartes,2014-07-23
Cabinet / Council of Ministers / Advisors (United States),Express intent to meet or negotiate,Benjamin Netanyahu,2014-07-23
Insurgent (Afghanistan),Use unconventional violence,Military Personnel - Special (Afghanistan),2014-07-23
Member of Parliament (India),Make pessimistic comment,Citizen (India),2014-07-23
Horacio Cartes,Make a visit,Paraguay,2014-07-23
Doctors Without Borders,Provide economic aid,Myanmar,2014-07-24
Tanzania,Host a visit,Xi Jinping,2014-07-24
John Kerry,Consult,Benjamin Netanyahu,2014-07-24
Xi Jinping,Make a visit,Tanzania,2014-07-24
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014-07-24
Myanmar,Make an appeal or request,Doctors Without Borders,2014-07-24
Meng Jianzhu,Make a visit,China,2014-07-24
Government (Nigeria),Praise or endorse,Citizen (Nigeria),2014-07-24
Government (Nigeria),Expel or deport individuals,Citizen (Nigeria),2014-07-24
Nuri al-Maliki,Make statement,Iraq,2014-07-24
Police (Australia),Make pessimistic comment,Citizen (Australia),2014-07-24
Afghanistan,Host a visit,Cabinet / Council of Ministers / Advisors (United States),2014-07-24
Benjamin Netanyahu,Engage in negotiation,John Kerry,2014-07-24
China,Host a visit,Japan,2014-07-24
China,Host a visit,Meng Jianzhu,2014-07-24
Iraq,Express intent to meet or negotiate,Nuri al-Maliki,2014-07-24
Benjamin Netanyahu,Meet at a 'third' location,John Kerry,2014-07-24
Cabinet / Council of Ministers / Advisors (United States),Make a visit,Afghanistan,2014-07-24
Citizen (Australia),Threaten,Police (Australia),2014-07-24
Japan,Make a visit,China,2014-07-24
John Kerry,Meet at a 'third' location,Benjamin Netanyahu,2014-07-24
Israeli Defense Forces,Use conventional military force,Hamas,2014-07-25
Mayotte,Host a visit,François Hollande,2014-07-25
Lapo Pistelli,Host a visit,Foreign Affairs (United States),2014-07-25
"Children (Palestinian Territory, Occupied)",Use unconventional violence,Police (Israel),2014-07-25
Philip Hammond,Make a visit,Abdel Fattah Al-Sisi,2014-07-25
John Kerry,Make a visit,France,2014-07-25
France,Host a visit,John Kerry,2014-07-25
Hamas,Make statement,Israeli Defense Forces,2014-07-25
Police (Israel),Use conventional military force,"Children (Palestinian Territory, Occupied)",2014-07-25
Comoros,Host a visit,François Hollande,2014-07-25
Mexico,Host a visit,Jerry Brown,2014-07-25
Ethiopia,Sign formal agreement,Togo,2014-07-25
Jerry Brown,Make a visit,Mexico,2014-07-25
Muhammadu Buhari,Host a visit,Mukhtar Ramalan Yero,2014-07-25
North Atlantic Treaty Organization,Make a visit,Curacao,2014-07-25
Mukhtar Ramalan Yero,Consult,Muhammadu Buhari,2014-07-25
François Hollande,Reduce or break diplomatic relations,Mayotte,2014-07-25
John Kerry,Express intent to meet or negotiate,France,2014-07-25
Foreign Affairs (United States),Make a visit,Lapo Pistelli,2014-07-25
François Hollande,Make a visit,Mayotte,2014-07-25
Salvador Sánchez Cerén,Express intent to meet or negotiate,Joseph Robinette Biden,2014-07-25
