head,relation,tail,time
Military Personnel (Philippines),Make statement,Military (Philippines),2014/11/25
Jack Straw,Make a visit,Iran,2014/1/9
Media Personnel (Austria),Consult,Mohammad Javad Zarif,2014/7/8
Cabinet / Council of Ministers / Advisors (United States),Make a visit,Afghanistan,2014/8/12
Uganda People's Defence Force,Use conventional military force,Citizen (Uganda),2014/4/14
Thailand,"Arrest, detain, or charge with legal action",Children (Thailand),2014/9/10
Yulia Tymoshenko,Consult,Arseniy Yatsenyuk,2014/2/22
Abdullah Abdullah,Conduct strike or boycott,Election Commission (Afghanistan),2014/6/25
Heraldo Muñoz,Engage in negotiation,Sergey Viktorovich Lavrov,2014/4/30
Benjamin Netanyahu,Accuse,Hamas,2014/6/25
Hun Sen,Make a visit,Sheikh Hasina Wajed,2014/6/16
Citizen (Kenya),Demand,Pokot,2014/11/3
Philippines,"Arrest, detain, or charge with legal action",Abu Sayyaf,2014/8/26
Police (Philippines),Discuss by telephone,Media (Philippines),2014/7/28
Legislature (China),Make statement,China,2014/10/7
Japan,Engage in diplomatic cooperation,Vietnam,2014/9/14
Julie Bishop,Express intent to meet or negotiate,Police (Australia),2014/6/24
Association of Southeast Asian Nations,Make a visit,Myanmar,2014/11/14
Catherine Ashton,Consult,Cabinet / Council of Ministers / Advisors (United States),2014/10/18
Malala Yousafzai,Appeal for release of persons or property,Boko Haram,2014/7/15
Vietnam,Consult,Nguyen Phu Trong,2014/1/27
Military Personnel - Special (Myanmar),Use unconventional violence,Myanmar,2014/3/28
Barack Obama,Make an appeal or request,Myanmar,2014/11/14
Myanmar,Host a visit,Barack Obama,2014/11/3
Militant (Syria),Occupy territory,Armed Rebel (Syria),2014/11/1
Afghanistan,"Return, release person(s)",Detainee (Afghanistan),2014/2/23
Other Authorities / Officials (China),Engage in negotiation,Government (Nepal),2014/10/16
Solidarity,Praise or endorse,Canada,2014/4/23
Head of Government (Egypt),Consult,Government Official (Egypt),2014/6/11
South Korea,Consult,China,2014/9/20
Mohammad Javad Zarif,Make optimistic comment,Iran,2014/6/2
Mainland Affairs Council,Increase police alert status,China,2014/9/3
Head of Government (China),Make statement,Thailand,2014/10/20
Court Judge (India),"Arrest, detain, or charge with legal action",Citizen (India),2014/11/30
Citizen (Thailand),Use unconventional violence,Monastery (Thailand),2014/7/23
Head of Government (Pakistan),Make statement,Government (Pakistan),2014/12/17
Police (Canada),Accuse,Women (Canada),2014/10/23
France,Express intent to meet or negotiate,China,2014/2/4
Al-Shabaab,Use conventional military force,Employee (Kenya),2014/12/3
European Parliament,Criticize or denounce,Armed Gang (Russia),2014/7/17
Cristina Fernández de Kirchner,Consult,Sergio Massa,2014/12/7
Japan,Criticize or denounce,China,2014/11/25
Barack Obama,Make a visit,South Korea,2014/5/1
Citizen (Zambia),Accuse,Michael Sata,2014/9/22
Independent Corrupt Practices Commission,Make an appeal or request,Citizen (Nigeria),2014/4/8
Men (United Arab Emirates),Accuse,Nurse (India),2014/6/9
China,Engage in diplomatic cooperation,Japan,2014/11/17
Citizen (Brazil),Demonstrate or rally,Other Authorities / Officials (Brazil),2014/7/4
Insurgent (Afghanistan),Use unconventional violence,Afghanistan,2014/9/4
John Kerry,Make a visit,Myanmar,2014/8/15
Military (Thailand),Threaten,Citizen (Thailand),2014/9/3
China,Appeal for intelligence,Malaysia,2014/3/14
Head of Government (China),Consult,Xi Jinping,2014/11/12
North Korea,Express intent to meet or negotiate,Ryoo Kihl-jae,2014/10/3
European Parliament,Criticize or denounce,Vojislav Šešelj,2014/11/26
Armed Rebel (Boko Haram),Use unconventional violence,Citizen (Nigeria),2014/11/3
Qatar,Host a visit,Hamas,2014/5/6
Evo Morales,Make statement,Bolivia,2014/10/13
Iran,Praise or endorse,Iraq,2014/11/14
Iraq,Host a visit,Nuri al-Maliki,2014/1/19
Iran,Provide military aid,Iraq,2014/12/30
Police (South Korea),"Arrest, detain, or charge with legal action",Criminal (South Korea),2014/12/30
China,Consult,Malaysia,2014/5/5
Armed Gang (Thailand),Use unconventional violence,Activist (Thailand),2014/1/19
Ali Abdullah Saleh,Make an appeal or request,Citizen (Yemen),2014/2/13
Barack Obama,Express intent to meet or negotiate,Abdullah Abdullah,2014/10/23
Foreign Affairs (Rwanda),Make an appeal or request,UN Security Council,2014/1/25
Barack Obama,Make a visit,China,2014/4/27
Party Member (Iraq),Expel or deport individuals,Activist (Iraq),2014/3/18
Sergey Viktorovich Lavrov,Consult,Pavlo Klimkin,2014/7/2
Police (South Korea),Investigate,South Korea,2014/7/31
Foreign Affairs (Belarus),Deny responsibility,Poland,2014/3/15
Oluṣẹgun Ọbasanj�?Make statement,Government (Nigeria),2014/7/25,
Japan,"Ease economic sanctions, boycott, embargo",North Korea,2014/4/11
Head of Government (Ukraine),Make statement,North Atlantic Treaty Organization,2014/9/14
African Union,Occupy territory,Al-Shabaab,2014/8/31
Vietnam,Consult,Mekong River Commission,2014/4/5
Iranian Parliament,Investigate,Ministry (Iran),2014/1/2
Benjamin Netanyahu,Express intent to engage in diplomatic cooperation (such as policy support),Barack Obama,2014/9/15
Barack Obama,Make optimistic comment,China,2014/4/25
Majid Takht Ravanchi,Make statement,Iran,2014/6/26
China,Engage in diplomatic cooperation,Afghanistan,2014/11/13
Michel Sapin,Make statement,France,2014/4/7
Barack Obama,Express intent to cooperate,François Hollande,2014/7/8
South Africa,Engage in diplomatic cooperation,Lesotho,2014/3/26
Citizen (Nigeria),Make an appeal or request,Government (Nigeria),2014/3/13
Afghanistan,Praise or endorse,China,2014/12/16
China,Reject,Yasuo Fukuda,2014/8/28
North Atlantic Treaty Organization,Make statement,Military (Russia),2014/5/20
Police (South Korea),Make statement,Military Personnel (South Korea),2014/4/18
Royal Administration (Argentina),Praise or endorse,Xi Jinping,2014/3/23
Citizen (Kenya),Decline comment,Businessperson (Kenya),2014/2/19
Congress (Argentina),Make statement,Presidential Candidate (Argentina),2014/9/1
Police (South Korea),Confiscate property,South Korea,2014/5/6
Information Ministry (India),Accuse,Citizen (India),2014/8/30
Court Judge (Nigeria),"Arrest, detain, or charge with legal action",Citizen (Nigeria),2014/7/31
Laos,Cooperate economically,Vietnam,2014/12/15
Nuri al-Maliki,Accuse,Qatar,2014/4/29
Arsen Avakov,Make statement,Police (Ukraine),2014/2/23
North Korea,Make a visit,China,2014/3/2
Xi Jinping,Express intent to cooperate,Barack Obama,2014/11/13
Elizabeth II,Make a visit,Ireland,2014/4/8
Lawyer/Attorney (Turkey),Impose restrictions on political freedoms,Citizen (Turkey),2014/4/25
Antonis Samaras,Express intent to meet or negotiate,Citizen (Greece),2014/7/22
Ireland,Express intent to meet or negotiate,Iran,2014/1/6
Military Personnel (Nigeria),Demand,Government (Nigeria),2014/4/18
Government (Georgia),Criticize or denounce,Citizen (Georgia),2014/1/17
High Ranking Military Personnel (United Arab Emirates),Make an appeal or request,Citizen (United Arab Emirates),2014/4/24
Other Authorities / Officials (Russia),Make statement,Military (Russia),2014/5/19
Catherine Ashton,Consult,Mohammad Javad Zarif,2014/2/18
Sudan,"Arrest, detain, or charge with legal action",Citizen (Sudan),2014/5/13
Myanmar,Host a visit,South Korea,2014/6/6
Epeli Nailatikau,Express intent to meet or negotiate,Frank Bainimarama,2014/10/30
Head of Government (Egypt),Praise or endorse,Police (Egypt),2014/1/20
Men (India),Use unconventional violence,Waiter (India),2014/11/28
Akitaka Saiki,Express intent to meet or negotiate,Cho Tai-young,2014/3/10
Sergey Viktorovich Lavrov,Discuss by telephone,John Kerry,2014/2/22
Aam Aadmi Party,Make an appeal or request,Governor (India),2014/2/26
Head of Government (Nigeria),Make an appeal or request,Government (Nigeria),2014/2/3
François Hollande,Criticize or denounce,Boko Haram,2014/7/1
Businessperson (Philippines),Cooperate militarily,Military (Philippines),2014/7/1
Mark Simmonds,Express intent to meet or negotiate,Sudan,2014/1/9
Foreign Affairs (Russia),Make statement,ITAR TASS,2014/2/13
John Kerry,Engage in negotiation,Nuri al-Maliki,2014/7/3
China,Criticize or denounce,North Korea,2014/7/2
Protester (Hong Kong),Demonstrate or rally,Other Authorities / Officials (Hong Kong),2014/10/16
Seyran Ohanyan,Consult,Military Personnel (Armenia),2014/9/9
Armed Gang (Somalia),fight with small arms and light weapons,Military Personnel (Somalia),2014/4/16
Mohammad Javad Zarif,Make optimistic comment,Iran,2014/11/11
Chuck Hagel,Make statement,Iraq,2014/12/10
Xi Jinping,Appeal for diplomatic cooperation (such as policy support),New Zealand,2014/11/19
North Korea,Consult,Japan,2014/8/31
Citizen (Nigeria),Praise or endorse,Government (Nigeria),2014/2/10
Citizen (Kenya),Accede to demands for change in leadership,William Ruto,2014/10/9
Xi Jinping,Make statement,China,2014/5/15
Israeli Defense Forces,fight with small arms and light weapons,"Children (Palestinian Territory, Occupied)",2014/6/26
Police (Kenya),Make statement,Government (Kenya),2014/6/24
Iran,Host a visit,Foreign Affairs (Italy),2014/9/5
Cristina Fernández de Kirchner,Make a visit,Paraguay,2014/8/21
Thailand,Make optimistic comment,Malaysia,2014/6/21
Court Judge (India),Refuse to release persons or property,Men (India),2014/5/29
South Korea,Criticize or denounce,Japan,2014/1/30
National Security Advisor (Thailand),Make a visit,Malaysia,2014/9/10
Iraq,Consult,Haider Al-Abadi,2014/9/14
Ministry (Angola),Make optimistic comment,Angolan Armed Forces,2014/4/18
Head of Government (Kenya),Make statement,Government (Kenya),2014/10/7
Benjamin Netanyahu,Engage in negotiation,John Kerry,2014/1/3
Iran,Host a visit,Catherine Ashton,2014/3/23
France,Consult,Kazakhstan,2014/6/11
Citizen (India),Criticize or denounce,Omar Abdullah,2014/9/12
Iran,Consult,Islamic Preacher (Iran),2014/7/5
Massoud Barzani,Host a visit,François Hollande,2014/9/12
Benjamin Netanyahu,Consult,John Kerry,2014/12/15
Vesna Pusić,Make statement,Government (Croatia),2014/9/19
Foreign Affairs (Austria),Express intent to meet or negotiate,Iran,2014/4/8
Antonis Samaras,Criticize or denounce,Alexis Tsipras,2014/5/23
Afghanistan,Consult,Tajikistan,2014/5/25
Armed Gang (Afghanistan),Use unconventional violence,Afghanistan,2014/7/27
South Africa,"Arrest, detain, or charge with legal action",Men (South Africa),2014/2/20
Court Judge (United Kingdom),"Arrest, detain, or charge with legal action",Citizen (United Kingdom),2014/2/14
Ryoo Kihl-jae,Make a visit,South Korea,2014/12/10
Police (Australia),Express intent to cooperate,Citizen (Australia),2014/2/28
Iranian Parliament,Make statement,Iran,2014/11/11
Naval (United States),Occupy territory,Romania,2014/10/10
Lloyd Austin,Make statement,Iraq,2014/10/17
Government (Nigeria),Make pessimistic comment,Citizen (Nigeria),2014/10/2
Ramon Paje,Make statement,Philippines,2014/7/14
Joseph Robinette Biden,Express intent to meet or negotiate,Romania,2014/5/19
Military (Lebanon),Use conventional military force,Armed Gang (Libya),2014/10/25
South Korea,Engage in diplomatic cooperation,Japan,2014/6/18
Lawmaker (United States),Make a visit,Japan,2014/4/14
Ibrahim Shekarau,Make statement,Government (Nigeria),2014/12/19
Lawyer/Attorney (Germany),"Arrest, detain, or charge with legal action",Citizen (Germany),2014/3/14
Other Authorities / Officials (Nigeria),Express intent to cooperate,Company - Owner or Operator (Nigeria),2014/10/6
Kuwait,Express intent to mediate,Qatar,2014/3/6
Police (Guinea),"Arrest, detain, or charge with legal action",Citizen (Guinea),2014/10/28
Colombia,Engage in negotiation,National Liberation Army,2014/7/3
John Kerry,Make statement,Iran,2014/2/17
Ministry (Nigeria),Demand,Government (Nigeria),2014/11/14
Evangelos Venizelos,Consult,Pavlo Klimkin,2014/7/23
Massoud Barzani,Host a visit,Iran,2014/4/16
Foreign Affairs (Kuwait),Make statement,Kuwait,2014/9/10
Militant (Boko Haram),Use unconventional violence,Citizen (Nigeria),2014/6/5
Manuel Monteiro de Castro,Make statement,Police (Dominican Republic),2014/1/13
Armed Gang (Afghanistan),Carry out suicide bombing,Attorney General (Afghanistan),2014/10/29
Citizen (Nigeria),Rally opposition against,Boko Haram,2014/5/26
North Korea,Engage in negotiation,South Korea,2014/10/15
Citizen (India),"Obstruct passage, block",Medical Personnel (India),2014/12/31
Citizen (South Korea),Appeal for diplomatic cooperation (such as policy support),North Korea,2014/9/10
Yoshitaka Shindo,Make a visit,Japan,2014/1/5
North Atlantic Treaty Organization,Make statement,Military (Russia),2014/8/30
African Union,Consult,Ethiopia,2014/11/8
North Korea,Host a visit,Foreign Affairs (United States),2014/2/11
Kazakhstan,Host a visit,Iran,2014/12/26
Militia (Iraq),Use unconventional violence,Iraq,2014/1/20
Military (United Kingdom),Use conventional military force,Citizen (United Kingdom),2014/4/29
North Korea,fight with artillery and tanks,South Korea,2014/12/1
Cleric (Iraq),Make an appeal or request,Scholar (Iraq),2014/1/1
Cabinet / Council of Ministers / Advisors (United States),Make a visit,Iraq,2014/6/24
Afghanistan,Host a visit,John Kerry,2014/7/13
Police (Egypt),Provide humanitarian aid,Women (Egypt),2014/6/10
Northern Ireland,"Arrest, detain, or charge with legal action",Men (United Kingdom),2014/4/3
François Hollande,Criticize or denounce,France,2014/10/14
Other Authorities / Officials (Nigeria),Make an appeal or request,Citizen (Nigeria),2014/11/26
Xi Jinping,Make a visit,South Korea,2014/6/18
Antonis Samaras,Reduce or break diplomatic relations,European Parliament,2014/1/6
Police (Philippines),Make statement,Criminal (Philippines),2014/1/8
Japan,Engage in negotiation,North Korea,2014/4/11
Antonis Samaras,Consult,Evangelos Venizelos,2014/1/25
Citizen (Czech Republic),"Abduct, hijack, or take hostage",Asylum Seeker (Czech Republic),2014/9/7
Police (Bulgaria),"Arrest, detain, or charge with legal action",Citizen (Bulgaria),2014/2/21
Lawyer/Attorney (Egypt),Demand,Al Jazeera,2014/6/5
Police (Australia),Investigate,Citizen (Australia),2014/11/3
UN Security Council,Make statement,South Sudan,2014/5/30
Head of Government (India),Make statement,Employee (India),2014/12/15
Citizen (India),Decline comment,Media (India),2014/9/22
Ministry (Nigeria),Make statement,Government (Nigeria),2014/7/8
Japan,Express intent to cooperate,United Arab Emirates,2014/2/26
Kuomintang,Consult,Ma Ying Jeou,2014/8/6
Police (Yemen),Consult,Military Personnel (Yemen),2014/4/30
Protester (Thailand),"Obstruct passage, block",Thailand,2014/1/21
Education (Argentina),Express intent to cooperate,Government (Argentina),2014/8/11
Ashok Kumar,Make an appeal or request,Citizen (India),2014/1/12
Julie Bishop,Express intent to meet or negotiate,Myanmar,2014/6/30
Xi Jinping,Engage in negotiation,Milos Zeman,2014/10/28
Education Ministry (Malaysia),Make an appeal or request,Citizen (Malaysia),2014/10/10
Manuel Augusto,Make a visit,Malawi,2014/3/13
John Kerry,Discuss by telephone,Sergey Viktorovich Lavrov,2014/4/3
Association of Southeast Asian Nations,Make a visit,Myanmar,2014/5/15
Nationalist Movement Party,Consult,Abdullah Gül,2014/1/13
Foreign Affairs (South Korea),Consult,Foreign Affairs (United States),2014/10/31
Indigenous People (India),Use unconventional violence,Citizen (India),2014/8/11
Thailand,Engage in diplomatic cooperation,Vietnam,2014/11/5
Xi Jinping,Express intent to meet or negotiate,Head of Government (Mongolia),2014/8/21
Xi Jinping,Make a visit,China,2014/5/8
Thailand,Consult,Malaysia,2014/6/21
Xi Jinping,Make a visit,China,2014/3/26
Massoud Barzani,Make statement,Iraq,2014/6/24
Barack Obama,Express intent to meet or negotiate,Xi Jinping,2014/10/9
John Kerry,Consult,Pham Binh Minh,2014/8/9
South Korea,Provide economic aid,Vietnam,2014/10/1
Sergey Viktorovich Lavrov,Consult,Catherine Ashton,2014/3/5
Boko Haram,Use conventional military force,Citizen (Nigeria),2014/10/28
Sergey Viktorovich Lavrov,Express intent to engage in diplomatic cooperation (such as policy support),John Kerry,2014/1/7
Cambodia,Host a visit,Gen Prayut Chan-o-cha,2014/10/30
Protester (Ukraine),"Protest violently, riot",Police (Ukraine),2014/1/12
Ali Abdullah Saleh,Reject,Citizen (Yemen),2014/11/9
Al-Shabaab,Make statement,Somali National Army,2014/3/11
Election Commission (Afghanistan),Make statement,Afghanistan,2014/4/2
Armed Rebel (Syria),Express intent to cooperate,Government (Syria),2014/2/6
Joe Natuman,Make a visit,Vietnam,2014/10/5
Ashraf Ghani Ahmadzai,Praise or endorse,Abdullah Abdullah,2014/9/29
Military (South Sudan),Make an appeal or request,South Sudan,2014/2/17
Protester (Kyrgyzstan),Demonstrate or rally,Police (Kyrgyzstan),2014/4/11
Coalition of the Radical Left,Make statement,Head of Government (Greece),2014/5/9
Election Commission (India),Impose administrative sanctions,Citizen (India),2014/4/16
Member of Legislative (Govt) (Iran),Make statement,Iraq,2014/12/27
Oman,Host a visit,Catherine Ashton,2014/11/9
Abdelilah Benkirane,Make statement,Morocco,2014/5/15
Citizen (Nigeria),Criticize or denounce,Government (Nigeria),2014/4/14
Mohammad Javad Zarif,Consult,Sergey Viktorovich Lavrov,2014/1/21
Other Authorities / Officials (Nigeria),Make statement,Government (Nigeria),2014/8/18
Citizen (Tanzania),Express intent to meet or negotiate,Tanzania,2014/12/18
Afghanistan,Consult,Tajikistan,2014/4/12
Human Rights Watch,Make a visit,South Sudan,2014/2/28
Citizen (Nigeria),Express intent to cooperate,Company - Owner or Operator (Nigeria),2014/3/10
Lawmaker (Japan),Make a visit,North Korea,2014/7/9
Ministry (Thailand),Demand,Citizen (Thailand),2014/2/6
Barack Obama,Accuse,Military (Russia),2014/7/21
Government (Nigeria),Express intent to cooperate,Citizen (Nigeria),2014/10/22
Foreign Affairs (Russia),Make statement,Iran,2014/3/17
Police (Philippines),Express intent to meet or negotiate,Philippines,2014/11/14
Saud bin Faisal bin Abdul-Aziz,Engage in negotiation,Mohammad Javad Zarif,2014/9/24
Citizen (India),Consult,Hacker (India),2014/5/31
Presidential Candidate (Argentina),Make statement,Cristina Fernández de Kirchner,2014/12/26
Other Authorities / Officials (Nigeria),Make an appeal or request,Citizen (Nigeria),2014/7/30
Qin Gang,Make statement,China,2014/1/23
Joshua Wong,Make statement,Protester (Hong Kong),2014/11/19
Iran,Engage in negotiation,Government (Pakistan),2014/8/30
Benjamin Netanyahu,Praise or endorse,Israeli Defense Forces,2014/11/27
Citizen (Nigeria),Criticize or denounce,Head of Government (Nigeria),2014/11/3
John Kerry,Criticize or denounce,North Korea,2014/12/19
United Arab Emirates,"Arrest, detain, or charge with legal action",Men (United Arab Emirates),2014/1/21
Terrorist (Boko Haram),Use unconventional violence,Citizen (Nigeria),2014/1/10
Iran,Cooperate militarily,Hezbollah,2014/2/19
Special Court (Pakistan),Demand,Government (Pakistan),2014/1/2
Head of Government (India),Demand,Citizen (India),2014/6/7
Government (Croatia),Consult,Business (Croatia),2014/3/25
Police (Ukraine),Make an appeal or request,Children (Ukraine),2014/2/18
Adams Oshiomhole,Make an appeal or request,Citizen (Nigeria),2014/5/15
Sudan,Express intent to cooperate,South Sudan,2014/3/20
Foreign Affairs (Singapore),Express intent to meet or negotiate,China,2014/6/5
Police (Philippines),Make an appeal or request,Philippines,2014/12/30
Japan,Express intent to meet or negotiate,China,2014/11/16
Naval (Sri Lanka),"Arrest, detain, or charge with legal action",Fishermen (India),2014/6/8
Cobra Matata,Make a visit,Governor (Democratic Republic of Congo),2014/11/22
South Korea,Sign formal agreement,Association of Southeast Asian Nations,2014/11/21
Oman,Engage in negotiation,United Arab Emirates,2014/7/8
South Korea,"Return, release person(s)",Citizen (South Korea),2014/6/24
Main Opposition (Turkey),Criticize or denounce,Justice and Development Party,2014/10/10
Arseniy Yatsenyuk,Engage in negotiation,John Kerry,2014/3/4
South Korea,Criticize or denounce,North Korea,2014/2/6
Myanmar,Host a visit,Joachim Gauck,2014/4/10
Emperor Akihito,Consult,Barack Obama,2014/4/13
Marziyeh Afkham,Make statement,Iran,2014/10/27
Lawmaker (United States),Make statement,Myanmar,2014/8/1
Barack Obama,Express intent to provide military aid,Iraq,2014/6/23
Saud bin Faisal bin Abdul-Aziz,Make a visit,Iran,2014/7/6
Human Rights Watch,Make statement,Police (Congo),2014/11/18
Lawyer/Attorney (Kenya),Make statement,Police (Kenya),2014/2/21
Citizen (Yemen),fight with small arms and light weapons,Police (Yemen),2014/1/19
Military Personnel (Kenya),Make statement,Murderer (Kenya),2014/6/10
Head of Government (Pakistan),Make statement,Government (Pakistan),2014/11/5
Member of the Judiciary (Nigeria),"Arrest, detain, or charge with legal action",Citizen (Nigeria),2014/11/12
Samuel Sitta,Make an appeal or request,Citizen (Tanzania),2014/4/15
Djibouti,Engage in diplomatic cooperation,Iran,2014/11/22
Gazprom,Yield,AB Lithuanian Gas,2014/6/12
North Korea,Provide military aid,Hezbollah,2014/7/28
Citizen (Nigeria),Deny responsibility,Member of the Judiciary (Nigeria),2014/11/26
Court Judge (India),"Arrest, detain, or charge with legal action",Citizen (India),2014/11/15
Iran,Make pessimistic comment,Terrorist Leader (Syria),2014/1/24
Citizen (Kenya),Demand,Governor (Kenya),2014/2/12
Iran,Sign formal agreement,United Arab Emirates,2014/1/21
Tsakhiagiyn Elbegdorj,Express intent to meet or negotiate,Japan,2014/6/9
Military Personnel - Special (India),"Arrest, detain, or charge with legal action",Citizen (India),2014/4/9
People Associated with the Opposition (Ukraine),"Protest violently, riot",Police (Ukraine),2014/2/20
China,Express intent to engage in diplomatic cooperation (such as policy support),Thailand,2014/12/18
Airline (New Zealand),Make statement,Police (New Zealand),2014/7/7
Member of the Judiciary (Iran),Impose administrative sanctions,Iran,2014/11/16
Portugal,Consult,Royal Administration (Spain),2014/7/7
Zhang Yesui,Engage in negotiation,Cabinet / Council of Ministers / Advisors (United States),2014/1/22
Sergey Viktorovich Lavrov,Express intent to cooperate,Federica Mogherini,2014/12/6
Myanmar,Host a visit,North Korea,2014/8/2
Citizen (India),Make an appeal or request,Head of Government (India),2014/10/10
Head of Government (India),Make statement,Employee (India),2014/12/28
Aam Aadmi Party,Criticize or denounce,Election Commission (India),2014/5/6
Other Authorities / Officials (Philippines),"Arrest, detain, or charge with legal action",Criminal (Abu Sayyaf),2014/12/20
Seyran Ohanyan,Consult,Armed Forces of the Republic of Armenia,2014/12/11
Akitaka Saiki,Make statement,Japan,2014/3/12
Taavi Rõivas,Engage in negotiation,Joseph Robinette Biden,2014/12/11
Staffan de Mistura,Consult,UN Security Council,2014/7/16
John Kerry,Sign formal agreement,Sergey Viktorovich Lavrov,2014/4/8
Iraq,Make statement,Nuri al-Maliki,2014/6/19
China,Host a visit,North Korea,2014/3/3
Mohammad Javad Zarif,Express intent to meet or negotiate,Catherine Ashton,2014/9/18
Iran,Host a visit,Iranian Parliament,2014/8/11
Member of Parliament (India),Express intent to cooperate,Citizen (India),2014/11/3
Sergey Viktorovich Lavrov,Make an appeal or request,John Kerry,2014/3/10
Military (Philippines),Mobilize or increase armed forces,Philippines,2014/9/25
Jean Chrétien,Make statement,Canadian Armed Forces,2014/10/3
Police (Yemen),Make statement,Militant (Yemen),2014/3/18
Syed Ashraful Islam,Make an appeal or request,Citizen (Bangladesh),2014/10/14
China,Engage in negotiation,South Korea,2014/9/19
Bahrain,Engage in diplomatic cooperation,Qatar,2014/11/28
Police (Malaysia),Make empathetic comment,Citizen (Malaysia),2014/8/22
Joseph Robinette Biden,Express intent to meet or negotiate,Romania,2014/5/14
Sergey Viktorovich Lavrov,Host a visit,John Kerry,2014/3/30
Afghanistan,"Arrest, detain, or charge with legal action",Militant (Taliban),2014/6/3
Armed Rebel (Nigeria),"Abduct, hijack, or take hostage",Citizen (Nigeria),2014/4/17
Cambodia,Make statement,Hun Sen,2014/1/29
China,Praise or endorse,Afghanistan,2014/10/30
Serbia,Host a visit,John Baird,2014/9/1
Afghanistan,Make statement,Military Personnel - Special (Afghanistan),2014/2/18
Citizen (India),Criticize or denounce,Aam Aadmi Party,2014/3/15
Protester (Ukraine),"Protest violently, riot",Police (Ukraine),2014/2/21
Attacker (Libya),fight with small arms and light weapons,Military Personnel (Libya),2014/8/12
Barack Obama,Accuse,Thailand,2014/5/2
Media Personnel (Iran),Make statement,Iran,2014/10/21
Labor Union (Nigeria),Accuse,Citizen (Nigeria),2014/9/15
Japan,Engage in diplomatic cooperation,Iran,2014/12/25
Armed Opposition (Nigeria),"Abduct, hijack, or take hostage",Citizen (Nigeria),2014/4/8
Djibouti,Host a visit,Abdiweli Sheikh Ahmed,2014/2/20
Reserve Personnel (Iran),"Arrest, detain, or charge with legal action",Fishermen (India),2014/10/5
Philippines,Make statement,Police (Philippines),2014/4/5
John Kerry,Consult,Saud bin Faisal bin Abdul-Aziz,2014/9/11
John Kerry,Engage in negotiation,Julie Bishop,2014/8/11
Citizen (India),Demand,Ruling Party (India),2014/6/12
John Kerry,Engage in negotiation,Nuri al-Maliki,2014/6/25
John Odigie-Oyegun,Make statement,Presidential Candidate (Nigeria),2014/7/7
Foreign Affairs (Russia),Make optimistic comment,Iran,2014/8/30
Prajin Jantong,Consult,Prayuth Chan-ocha,2014/1/27
Militant (Iraq),Use unconventional violence,Children (Iraq),2014/8/19
Police (Philippines),fight with small arms and light weapons,Criminal (Philippines),2014/3/16
Milos Zeman,Make a visit,China,2014/10/26
Nuri al-Maliki,Make a visit,Iraq,2014/7/27
Aladdin Boroujerdi,Express intent to meet or negotiate,Mexico,2014/12/2
Other Authorities / Officials (Mexico),"Arrest, detain, or charge with legal action",Drug Gang (Mexico),2014/10/28
Citizen (India),Reduce relations,Tarun Gogoi,2014/8/19
Philip Hammond,Make statement,Iraq,2014/10/17
Police (Kenya),Demand,Citizen (Kenya),2014/1/21
Abdul Aziz,Make an appeal or request,Abdel Fattah Al-Sisi,2014/12/1
Cabinet / Council of Ministers / Advisors (Japan),Make statement,Japan,2014/6/20
Citizen (Croatia),Consider policy option,Slavko Linic,2014/6/7
Court Judge (Namibia),"Arrest, detain, or charge with legal action",Citizen (Namibia),2014/4/24
Head of Government (Afghanistan),Praise or endorse,Ministry (Afghanistan),2014/12/9
Uhuru Muigai Kenyatta,Express intent to cooperate,Citizen (Kenya),2014/8/18
Park Won-soon,Make a visit,South Korea,2014/5/15
Peter Lerner,Make statement,Israeli Defense Forces,2014/8/5
Foreign Affairs (United States),Praise or endorse,Government (Georgia),2014/12/2
Abhisit Vejjajiva,Demand,Cabinet / Council of Ministers / Advisors (Thailand),2014/5/6
Qotboddin Helal,Make statement,Gulbuddin Hekmatyar,2014/2/17
China,Host a visit,Governor (Japan),2014/4/24
Boko Haram,Use unconventional violence,Government (Nigeria),2014/3/21
Police (Indonesia),Use conventional military force,Citizen (Indonesia),2014/8/21
Mohammad Javad Zarif,Make statement,Iran,2014/12/10
Pakistan Tehreek-e-Insaf,Demonstrate or rally,Legislature (Pakistan),2014/8/20
Prayuth Chan-ocha,Praise or endorse,UN Security Council,2014/9/5
Police (Rwanda),"Arrest, detain, or charge with legal action",Women (Rwanda),2014/4/18
Citizen (India),Kill by physical assault,Waiter (India),2014/6/29
Militant (Taliban),"Reject proposal to meet, discuss, or negotiate",Government (Pakistan),2014/12/17
China,Cooperate economically,Iran,2014/11/22
Amit Shah,Make an appeal or request,Employee (India),2014/10/31
Iran,Sign formal agreement,Iraq,2014/3/2
Thaksin Shinawatra,Demand change in leadership,Citizen (Thailand),2014/3/28
North Korea,Host a visit,Kim Jong-Un,2014/12/9
Marziyeh Afkham,Criticize or denounce,European Parliament,2014/4/4
David Hale,Praise or endorse,Military (Lebanon),2014/8/6
Citizen (Nigeria),Praise or endorse,Head of Government (Nigeria),2014/4/21
Xi Jinping,Express intent to meet or negotiate,France,2014/3/26
François Hollande,Consult,Jean-Yves Le Drian,2014/12/10
China,Reject,Philippines,2014/8/4
Benjamin Netanyahu,Discuss by telephone,Barack Obama,2014/8/13
Court Judge (Malaysia),"Arrest, detain, or charge with legal action",Citizen (Malaysia),2014/8/28
Ministry of Public Security (Canada),Make statement,Business (Canada),2014/2/4
